index,K,c_pair,inner_radius,outer_radius,outside_D,edge_log_radius,edge_D,outside_sign,edge_sign,comparison,edge_kind,rational_vector
0,0.0000000001,9686206335673473656842393168859440055102049/10000000000000000000000000000000000000000000,5.530413474427920888606706299786493903050579,8.237853348662882903844642478114782347342244,5.99153388296500689100501907900916991e-15,40,3.98922835631187365119680720447947587e-08,1,1,agree,configured_grid_end_not_mathematical_boundary,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-2100000000005000000000000000000000000000000000/56548269692408210225266324857453840606122539"", ""0"", ""-10"", ""11/5"", ""9686206335673473656842393168859440055102049/10000000000000000000000000000000000000000000""]"
1,0.0000000002,4843103167906002226023178622873268658032959/5000000000000000000000000000000000000000000,5.53041347448865373670930011038640836943197,8.237853348753347802794632779852064441940457,1.1983067766020222469371602318737127e-14,40,7.97845672642538882291141466369805229e-08,1,1,agree,configured_grid_end_not_mathematical_boundary,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-1050000000005000000000000000000000000000000000/28274134846966024486254964851605955238362549"", ""0"", ""-10"", ""11/5"", ""4843103167906002226023178622873268658032959/5000000000000000000000000000000000000000000""]"
2,0.0000000005,61991720551856619761121272744222286777/64000000000000000000000000000000000000,5.530413474670852280033705196621878866544206,8.237853349024742498179810833903629037144671,2.99576694157253671373361646760987069e-14,40,1.9946141919575783450779485208767299e-07,1,1,agree,configured_grid_end_not_mathematical_boundary,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-13440000000160000000000000000000000000000/361908926070422817372334000186445154547"", ""0"", ""-10"", ""11/5"", ""61991720551856619761121272744222286777/64000000000000000000000000000000000000""]"
3,0.000000001,9686206336920250813779765835840594890225531/10000000000000000000000000000000000000000000,5.530413474974516257941679793368659218844547,8.23785334947706660176526027417698943801344,5.99153388337058964965226804472303187e-14,40,3.98922841841925997056509563845808399e-07,1,1,agree,configured_grid_end_not_mathematical_boundary,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-2100000000050000000000000000000000000000000000/56548269706122758951577424194246543792480841"", ""0"", ""-10"", ""11/5"", ""9686206336920250813779765835840594890225531/10000000000000000000000000000000000000000000""]"
4,0.000000002,9686206338305558766200768240368304316222153/10000000000000000000000000000000000000000000,5.530413475581844996075471233203089350486877,8.237853350381715974241372999405886773532315,1.19830677676389770171175018934289915e-13,40,7.97845697485494347393933045415985512e-07,1,1,agree,configured_grid_end_not_mathematical_boundary,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-2100000000100000000000000000000000000000000000/56548269721361146428208450644051347478443683"", ""0"", ""-10"", ""11/5"", ""9686206338305558766200768240368304316222153/10000000000000000000000000000000000000000000""]"
5,0.000000005,9686206342461482625158713340344355950659287/10000000000000000000000000000000000000000000,5.530413477403830434098511458104534420024945,8.237853353095662935211719575809535114855594,2.9957669425841200344419289605402525e-13,40,1.99461434722606051748400727904537171e-06,1,1,agree,configured_grid_end_not_mathematical_boundary,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-2100000000250000000000000000000000000000000000/56548269767076308876745846743787915457252157"", ""0"", ""-10"", ""11/5"", ""9686206342461482625158713340344355950659287/10000000000000000000000000000000000000000000""]"
6,0.00000001,2421551587347005598934604514690564384332997/2500000000000000000000000000000000000000000,5.530413480440472821636361132384099092080575,8.237853357618907856507225546086450267811289,5.99153388741621582623561919372180649e-13,40,3.98922903949326011138438465198630018e-06,1,1,agree,configured_grid_end_not_mathematical_boundary,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-525000000125000000000000000000000000000000000/14137067460817061588280649661596208227662967"", ""0"", ""-10"", ""11/5"", ""2421551587347005598934604514690564384332997/2500000000000000000000000000000000000000000""]"
7,0.00000002,2421551590810275489521141398635343791541919/2500000000000000000000000000000000000000000,5.530413486513757752136452387644000168716554,8.237853366665397930611369959063792341451041,1.1983067783823911351001816554909166e-12,40,7.97845945915150478776517389518981214e-06,1,1,agree,configured_grid_end_not_mathematical_boundary,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-525000000250000000000000000000000000000000000/14137067498913030384732555384988781706961109"", ""0"", ""-10"", ""11/5"", ""2421551590810275489521141398635343791541919/2500000000000000000000000000000000000000000""]"
8,0.00000005,2421551601200085203654224666745789507591781/2500000000000000000000000000000000000000000,5.530413506793852571010981231625332938911923,8.237853396873708355746058926925865498978211,2.99576701221809937219839588203269224e-12,40,1.99461589991246972812830777530550213e-05,1,1,agree,configured_grid_end_not_mathematical_boundary,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-525000000625000000000000000000000000000000000/14137067613200937240196471334203684583509591"", ""0"", ""-10"", ""11/5"", ""2421551601200085203654224666745789507591781/2500000000000000000000000000000000000000000""]"
9,0.0000001,605387904629108717113567396097498995920877/625000000000000000000000000000000000000000,5.530413537160279683234515868336405615395634,8.237853442106162390158837444377773809928227,5.99153404691518538495793837084515684e-12,40,3.98923525024595342168853981326599742e-05,1,1,agree,configured_grid_end_not_mathematical_boundary,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-131250000312500000000000000000000000000000000/3534266950920195888249241357072488955129647"", ""0"", ""-10"", ""11/5"", ""605387904629108717113567396097498995920877/625000000000000000000000000000000000000000""]"
