index,K,outside_sign,resolved_edge_sign,sample_log_radius,last_success_log_radius,first_failure_log_radius,first_failure_status,edge_log_displacement,comparison
0,0.0000000001,1,1,627.7109375,628.7109375,629.296875,ANGULAR_CHART_UNRESOLVED,99.441763230575766230318523701746767,agree
1,0.0000000002,1,1,606.03125,607.03125,607.6171875,ANGULAR_CHART_UNRESOLVED,93.3018881606829957352006217127195172,agree
2,0.0000000005,1,1,577.90625,578.90625,579.296875,ANGULAR_CHART_UNRESOLVED,96.5890318644411562124440181970513596,agree
3,0.000000001,1,1,556.8125,557.8125,558.203125,ANGULAR_CHART_UNRESOLVED,104.065814096982975716652421466586101,agree
4,0.000000002,1,1,535.328125,536.328125,536.71875,ANGULAR_CHART_UNRESOLVED,101.682247960306684362838714268418727,agree
5,0.000000005,1,1,507.203125,508.203125,508.59375,ANGULAR_CHART_UNRESOLVED,106.127880125031157738027206385837254,agree
6,0.00000001,1,1,485.71875,486.71875,487.109375,ANGULAR_CHART_UNRESOLVED,103.580310030781024272544002492362972,agree
7,0.00000002,1,1,464.234375,465.234375,465.625,ANGULAR_CHART_UNRESOLVED,101.233155912843978270547691713829732,agree
8,0.00000005,1,1,436.109375,437.109375,437.5,ANGULAR_CHART_UNRESOLVED,105.605006891065779514528436443887545,agree
9,0.0000001,1,1,414.625,415.625,416.015625,ANGULAR_CHART_UNRESOLVED,103.096648516456824940583556890349706,agree
10,0.0000002,1,1,393.140625,394.140625,394.43359375,ANGULAR_CHART_UNRESOLVED,100.780105413046787284590344765036366,agree
11,0.0000005,1,1,365.015625,366.015625,366.30859375,ANGULAR_CHART_UNRESOLVED,105.062810675037883667856538861971625,agree
12,0.000001,1,1,343.62890625,344.62890625,344.921875,ANGULAR_CHART_UNRESOLVED,105.304328268864264645182839932806629,agree
13,0.000002,1,1,322.2421875,323.2421875,323.53515625,ANGULAR_CHART_UNRESOLVED,105.517978415449665155314272147004414,agree
14,0.000005,1,1,293.82421875,294.82421875,295.1171875,ANGULAR_CHART_UNRESOLVED,101.646834047533428870855371967331099,agree
15,0.00001,1,1,272.4375,273.4375,273.73046875,ANGULAR_CHART_UNRESOLVED,101.643315963652787303933585676996686,agree
16,0.00002,1,1,251.05078125,252.05078125,252.34375,ANGULAR_CHART_UNRESOLVED,101.422751709575989909453058395938099,agree
17,0.00005,1,1,222.80859375,223.80859375,223.984375,ANGULAR_CHART_UNRESOLVED,101.226558134830632313747834978028955,agree
18,0.0001,1,1,201.5390625,202.5390625,202.71484375,ANGULAR_CHART_UNRESOLVED,102.577296097242279727946548849676142,agree
19,0.0002,1,1,180.26953125,181.26953125,181.4453125,ANGULAR_CHART_UNRESOLVED,102.231931178946293090430055937317636,agree
20,0.0004,1,1,159.17578125,160.17578125,160.3515625,ANGULAR_CHART_UNRESOLVED,103.620214040978218257448686678475433,agree
21,0.0008,1,1,138.140625,139.140625,139.2578125,ANGULAR_CHART_UNRESOLVED,100.755877147103802334901972704483048,agree
22,0.0012,1,1,125.953125,126.953125,127.0703125,ANGULAR_CHART_UNRESOLVED,98.0394555159649211568901759406952814,agree
23,0.001953125,1,1,111.5390625,112.5390625,112.65625,ANGULAR_CHART_UNRESOLVED,94.723244936362276287635491914210307,agree
