64 sets 9s hist {0: 17, 1: 30, 2: 15, 3: 2}
128 sets 17s hist {0: 36, 1: 60, 2: 24, 3: 8}
192 sets 26s hist {0: 55, 1: 86, 2: 38, 3: 13}
256 sets 34s hist {0: 75, 1: 111, 2: 55, 3: 15}
320 sets 42s hist {0: 94, 1: 139, 2: 68, 3: 19}
384 sets 51s hist {0: 116, 1: 163, 2: 83, 3: 22}
448 sets 60s hist {0: 136, 1: 192, 2: 94, 3: 25, 4: 1}
512 sets 68s hist {0: 154, 1: 221, 2: 105, 3: 30, 4: 2}
576 sets 77s hist {0: 174, 1: 248, 2: 118, 3: 34, 4: 2}
640 sets 85s hist {0: 194, 1: 274, 2: 131, 3: 39, 4: 2}
704 sets 94s hist {0: 215, 1: 302, 2: 142, 3: 43, 4: 2}
768 sets 102s hist {0: 234, 1: 329, 2: 158, 3: 45, 4: 2}
832 sets 111s hist {0: 255, 1: 355, 2: 169, 3: 51, 4: 2}
896 sets 120s hist {0: 274, 1: 380, 2: 185, 3: 54, 4: 3}
960 sets 128s hist {0: 290, 1: 408, 2: 201, 3: 58, 4: 3}
1024 sets 137s hist {0: 310, 1: 437, 2: 211, 3: 63, 4: 3}
1088 sets 145s hist {0: 328, 1: 468, 2: 222, 3: 67, 4: 3}
1152 sets 154s hist {0: 345, 1: 495, 2: 238, 3: 71, 4: 3}
1216 sets 162s hist {0: 364, 1: 522, 2: 253, 3: 74, 4: 3}
1280 sets 171s hist {0: 383, 1: 549, 2: 265, 3: 80, 4: 3}
1344 sets 180s hist {0: 403, 1: 573, 2: 281, 3: 84, 4: 3}
1408 sets 188s hist {0: 423, 1: 601, 2: 291, 3: 90, 4: 3}
1472 sets 197s hist {0: 443, 1: 628, 2: 303, 3: 95, 4: 3}
1536 sets 206s hist {0: 462, 1: 658, 2: 314, 3: 98, 4: 4}
1600 sets 214s hist {0: 480, 1: 689, 2: 324, 3: 103, 4: 4}
1664 sets 223s hist {0: 499, 1: 719, 2: 336, 3: 105, 4: 5}
1728 sets 232s hist {0: 519, 1: 745, 2: 351, 3: 108, 4: 5}
1792 sets 240s hist {0: 541, 1: 769, 2: 363, 3: 114, 4: 5}
1856 sets 249s hist {0: 561, 1: 797, 2: 376, 3: 117, 4: 5}
1920 sets 258s hist {0: 579, 1: 825, 2: 388, 3: 123, 4: 5}
1984 sets 266s hist {0: 598, 1: 851, 2: 401, 3: 129, 4: 5}
2048 sets 275s hist {0: 614, 1: 882, 2: 413, 3: 133, 4: 6}
2112 sets 283s hist {0: 634, 1: 909, 2: 424, 3: 138, 4: 7}
2176 sets 292s hist {0: 652, 1: 934, 2: 440, 3: 143, 4: 7}
2240 sets 300s hist {0: 671, 1: 962, 2: 453, 3: 146, 4: 8}
2304 sets 309s hist {0: 692, 1: 989, 2: 465, 3: 150, 4: 8}
2368 sets 317s hist {0: 712, 1: 1015, 2: 480, 3: 153, 4: 8}
2432 sets 325s hist {0: 733, 1: 1045, 2: 489, 3: 157, 4: 8}
2496 sets 334s hist {0: 754, 1: 1071, 2: 500, 3: 163, 4: 8}
2560 sets 343s hist {0: 772, 1: 1100, 2: 514, 3: 166, 4: 8}
2624 sets 351s hist {0: 791, 1: 1128, 2: 524, 3: 173, 4: 8}
2688 sets 360s hist {0: 811, 1: 1153, 2: 540, 3: 176, 4: 8}
2752 sets 369s hist {0: 832, 1: 1178, 2: 556, 3: 178, 4: 8}
2816 sets 377s hist {0: 850, 1: 1207, 2: 569, 3: 182, 4: 8}
2880 sets 386s hist {0: 870, 1: 1232, 2: 584, 3: 186, 4: 8}
2944 sets 394s hist {0: 889, 1: 1260, 2: 597, 3: 190, 4: 8}
3008 sets 403s hist {0: 908, 1: 1290, 2: 609, 3: 193, 4: 8}
3072 sets 411s hist {0: 926, 1: 1320, 2: 623, 3: 195, 4: 8}
3136 sets 420s hist {0: 945, 1: 1349, 2: 635, 3: 199, 4: 8}
3200 sets 428s hist {0: 964, 1: 1376, 2: 647, 3: 205, 4: 8}
3264 sets 437s hist {0: 985, 1: 1402, 2: 659, 3: 209, 4: 9}
3328 sets 446s hist {0: 1005, 1: 1428, 2: 672, 3: 214, 4: 9}
3392 sets 454s hist {0: 1023, 1: 1457, 2: 685, 3: 218, 4: 9}
3456 sets 463s hist {0: 1044, 1: 1484, 2: 697, 3: 221, 4: 10}
3520 sets 471s hist {0: 1063, 1: 1511, 2: 712, 3: 224, 4: 10}
