b=0.5 e1=+0.01 da=+0.0001 done 11s hist {0: 8, 1: 13, 2: 4}
b=0.5 e1=+0.01 da=+0.001 done 21s hist {0: 16, 1: 26, 2: 8}
b=0.5 e1=+0.01 da=+0.01 done 33s hist {0: 24, 1: 39, 2: 12}
b=0.5 e1=+0.01 da=+0.03 done 44s hist {0: 31, 1: 52, 2: 17}
b=0.5 e1=+0.01 da=-0.0001 done 56s hist {0: 39, 1: 64, 2: 22}
b=0.5 e1=+0.01 da=-0.001 done 68s hist {0: 47, 1: 76, 2: 27}
b=0.5 e1=+0.01 da=-0.01 done 79s hist {0: 55, 1: 88, 2: 32}
b=0.5 e1=+0.01 da=-0.03 done 89s hist {0: 63, 1: 99, 2: 37, 3: 1}
b=0.5 e1=+0.001 da=+0.0001 done 101s hist {0: 71, 1: 112, 2: 41, 3: 1}
b=0.5 e1=+0.001 da=+0.001 done 113s hist {0: 79, 1: 125, 2: 45, 3: 1}
b=0.5 e1=+0.001 da=+0.01 done 125s hist {0: 87, 1: 138, 2: 49, 3: 1}
b=0.5 e1=+0.001 da=+0.03 done 138s hist {0: 94, 1: 151, 2: 54, 3: 1}
b=0.5 e1=+0.001 da=-0.0001 done 149s hist {0: 102, 1: 163, 2: 59, 3: 1}
b=0.5 e1=+0.001 da=-0.001 done 161s hist {0: 110, 1: 175, 2: 64, 3: 1}
b=0.5 e1=+0.001 da=-0.01 done 174s hist {0: 118, 1: 187, 2: 69, 3: 1}
b=0.5 e1=+0.001 da=-0.03 done 187s hist {0: 126, 1: 198, 2: 74, 3: 2}
b=0.5 e1=+0.0001 da=+0.0001 done 200s hist {0: 134, 1: 211, 2: 78, 3: 2}
b=0.5 e1=+0.0001 da=+0.001 done 212s hist {0: 142, 1: 224, 2: 82, 3: 2}
b=0.5 e1=+0.0001 da=+0.01 done 224s hist {0: 150, 1: 237, 2: 86, 3: 2}
b=0.5 e1=+0.0001 da=+0.03 done 238s hist {0: 157, 1: 250, 2: 91, 3: 2}
b=0.5 e1=+0.0001 da=-0.0001 done 250s hist {0: 165, 1: 262, 2: 96, 3: 2}
b=0.5 e1=+0.0001 da=-0.001 done 262s hist {0: 173, 1: 274, 2: 101, 3: 2}
b=0.5 e1=+0.0001 da=-0.01 done 274s hist {0: 181, 1: 286, 2: 106, 3: 2}
b=0.5 e1=+0.0001 da=-0.03 done 286s hist {0: 189, 1: 297, 2: 111, 3: 3}
b=0.5 e1=-0.01 da=+0.0001 done 297s hist {0: 199, 1: 310, 2: 113, 3: 3}
b=0.5 e1=-0.01 da=+0.001 done 308s hist {0: 209, 1: 323, 2: 115, 3: 3}
b=0.5 e1=-0.01 da=+0.01 done 318s hist {0: 219, 1: 336, 2: 117, 3: 3}
b=0.5 e1=-0.01 da=+0.03 done 329s hist {0: 228, 1: 349, 2: 120, 3: 3}
b=0.5 e1=-0.01 da=-0.0001 done 340s hist {0: 239, 1: 361, 2: 122, 3: 3}
b=0.5 e1=-0.01 da=-0.001 done 351s hist {0: 250, 1: 373, 2: 124, 3: 3}
b=0.5 e1=-0.01 da=-0.01 done 361s hist {0: 261, 1: 385, 2: 126, 3: 3}
b=0.5 e1=-0.01 da=-0.03 done 371s hist {0: 272, 1: 396, 2: 128, 3: 4}
b=0.5 e1=-0.001 da=+0.0001 done 383s hist {0: 282, 1: 409, 2: 130, 3: 4}
b=0.5 e1=-0.001 da=+0.001 done 394s hist {0: 292, 1: 422, 2: 132, 3: 4}
b=0.5 e1=-0.001 da=+0.01 done 407s hist {0: 302, 1: 435, 2: 134, 3: 4}
b=0.5 e1=-0.001 da=+0.03 done 418s hist {0: 311, 1: 448, 2: 137, 3: 4}
b=0.5 e1=-0.001 da=-0.0001 done 430s hist {0: 322, 1: 460, 2: 139, 3: 4}
b=0.5 e1=-0.001 da=-0.001 done 441s hist {0: 333, 1: 472, 2: 141, 3: 4}
b=0.5 e1=-0.001 da=-0.01 done 449s hist {0: 344, 1: 484, 2: 143, 3: 4}
b=0.5 e1=-0.001 da=-0.03 done 457s hist {0: 355, 1: 495, 2: 145, 3: 5}
b=0.5 e1=-0.0001 da=+0.0001 done 465s hist {0: 365, 1: 508, 2: 147, 3: 5}
b=0.5 e1=-0.0001 da=+0.001 done 473s hist {0: 375, 1: 521, 2: 149, 3: 5}
b=0.5 e1=-0.0001 da=+0.01 done 480s hist {0: 385, 1: 534, 2: 151, 3: 5}
b=0.5 e1=-0.0001 da=+0.03 done 487s hist {0: 394, 1: 547, 2: 154, 3: 5}
b=0.5 e1=-0.0001 da=-0.0001 done 494s hist {0: 405, 1: 559, 2: 156, 3: 5}
b=0.5 e1=-0.0001 da=-0.001 done 501s hist {0: 416, 1: 571, 2: 158, 3: 5}
b=0.5 e1=-0.0001 da=-0.01 done 507s hist {0: 427, 1: 583, 2: 160, 3: 5}
b=0.5 e1=-0.0001 da=-0.03 done 513s hist {0: 438, 1: 594, 2: 162, 3: 6}
b=1.5 e1=+0.01 da=+0.0001 done 518s hist {0: 443, 1: 604, 2: 170, 3: 8}
b=1.5 e1=+0.01 da=+0.001 done 523s hist {0: 448, 1: 614, 2: 178, 3: 10}
b=1.5 e1=+0.01 da=+0.01 done 528s hist {0: 453, 1: 624, 2: 186, 3: 12}
b=1.5 e1=+0.01 da=+0.03 done 533s hist {0: 458, 1: 634, 2: 194, 3: 14}
b=1.5 e1=+0.01 da=-0.0001 done 538s hist {0: 463, 1: 644, 2: 202, 3: 16}
