a0=-1.0 b=0.5 e1=+0.01 delta=+1.0e-03 done 15s hist {1: 28, 3: 35}
a0=-1.0 b=0.5 e1=+0.01 delta=+1.0e-04 done 31s hist {1: 56, 3: 70}
a0=-1.0 b=0.5 e1=+0.01 delta=+1.0e-05 done 46s hist {1: 84, 3: 105}
a0=-1.0 b=0.5 e1=+0.01 delta=-1.0e-03 done 61s hist {0: 28, 1: 84, 2: 35, 3: 105}
a0=-1.0 b=0.5 e1=+0.01 delta=-1.0e-04 done 76s hist {0: 56, 1: 84, 2: 70, 3: 105}
a0=-1.0 b=0.5 e1=+0.01 delta=-1.0e-05 done 90s hist {0: 84, 1: 84, 2: 105, 3: 105}
a0=-1.0 b=0.5 e1=-0.01 delta=-1.0e-03 done 105s hist {0: 84, 1: 119, 2: 105, 3: 133}
a0=-1.0 b=0.5 e1=-0.01 delta=-1.0e-04 done 121s hist {0: 84, 1: 154, 2: 105, 3: 161}
a0=-1.0 b=0.5 e1=-0.01 delta=-1.0e-05 done 136s hist {0: 84, 1: 189, 2: 105, 3: 189}
a0=-1.0 b=0.5 e1=-0.01 delta=+1.0e-03 done 150s hist {0: 119, 1: 189, 2: 133, 3: 189}
a0=-1.0 b=0.5 e1=-0.01 delta=+1.0e-04 done 166s hist {0: 154, 1: 189, 2: 161, 3: 189}
a0=-1.0 b=0.5 e1=-0.01 delta=+1.0e-05 done 181s hist {0: 189, 1: 189, 2: 189, 3: 189}
a0=-1.0 b=1.0 e1=+0.01 delta=+1.0e-03 done 197s hist {0: 189, 1: 245, 2: 196, 3: 189}
a0=-1.0 b=1.0 e1=+0.01 delta=+1.0e-04 done 212s hist {0: 189, 1: 301, 2: 203, 3: 189}
a0=-1.0 b=1.0 e1=+0.01 delta=+1.0e-05 done 226s hist {0: 189, 1: 357, 2: 210, 3: 189}
a0=-1.0 b=1.0 e1=+0.01 delta=-1.0e-03 done 241s hist {0: 217, 1: 364, 2: 238, 3: 189}
a0=-1.0 b=1.0 e1=+0.01 delta=-1.0e-04 done 257s hist {0: 245, 1: 371, 2: 266, 3: 189}
a0=-1.0 b=1.0 e1=+0.01 delta=-1.0e-05 done 270s hist {0: 273, 1: 378, 2: 294, 3: 189}
a0=-1.0 b=1.0 e1=-0.01 delta=-1.0e-03 done 285s hist {0: 280, 1: 434, 2: 294, 3: 189}
a0=-1.0 b=1.0 e1=-0.01 delta=-1.0e-04 done 302s hist {0: 287, 1: 490, 2: 294, 3: 189}
a0=-1.0 b=1.0 e1=-0.01 delta=-1.0e-05 done 315s hist {0: 294, 1: 546, 2: 294, 3: 189}
a0=-1.0 b=1.0 e1=-0.01 delta=+1.0e-03 done 330s hist {0: 322, 1: 553, 2: 322, 3: 189}
a0=-1.0 b=1.0 e1=-0.01 delta=+1.0e-04 done 346s hist {0: 350, 1: 560, 2: 350, 3: 189}
a0=-1.0 b=1.0 e1=-0.01 delta=+1.0e-05 done 360s hist {0: 378, 1: 567, 2: 378, 3: 189}
a0=-1.0 b=1.5 e1=+0.01 delta=+1.0e-03 done 376s hist {0: 378, 1: 623, 2: 385, 3: 189}
a0=-1.0 b=1.5 e1=+0.01 delta=+1.0e-04 done 390s hist {0: 378, 1: 679, 2: 392, 3: 189}
a0=-1.0 b=1.5 e1=+0.01 delta=+1.0e-05 done 404s hist {0: 378, 1: 735, 2: 399, 3: 189}
a0=-1.0 b=1.5 e1=+0.01 delta=-1.0e-03 done 421s hist {0: 378, 1: 735, 2: 455, 3: 196}
a0=-1.0 b=1.5 e1=+0.01 delta=-1.0e-04 done 435s hist {0: 378, 1: 735, 2: 511, 3: 203}
a0=-1.0 b=1.5 e1=+0.01 delta=-1.0e-05 done 450s hist {0: 378, 1: 735, 2: 567, 3: 210}
a0=-1.0 b=1.5 e1=-0.01 delta=-1.0e-03 done 465s hist {0: 385, 1: 791, 2: 567, 3: 210}
a0=-1.0 b=1.5 e1=-0.01 delta=-1.0e-04 done 481s hist {0: 392, 1: 847, 2: 567, 3: 210}
a0=-1.0 b=1.5 e1=-0.01 delta=-1.0e-05 done 497s hist {0: 399, 1: 903, 2: 567, 3: 210}
a0=-1.0 b=1.5 e1=-0.01 delta=+1.0e-03 done 511s hist {0: 399, 1: 910, 2: 623, 3: 210}
a0=-1.0 b=1.5 e1=-0.01 delta=+1.0e-04 done 527s hist {0: 399, 1: 917, 2: 679, 3: 210}
a0=-1.0 b=1.5 e1=-0.01 delta=+1.0e-05 done 542s hist {0: 399, 1: 924, 2: 735, 3: 210}
a0=-0.5 b=0.5 e1=+0.01 delta=+1.0e-03 done 558s hist {0: 399, 1: 987, 2: 735, 3: 210}
a0=-0.5 b=0.5 e1=+0.01 delta=+1.0e-04 done 574s hist {0: 399, 1: 1050, 2: 735, 3: 210}
a0=-0.5 b=0.5 e1=+0.01 delta=+1.0e-05 done 592s hist {0: 399, 1: 1113, 2: 735, 3: 210}
a0=-0.5 b=0.5 e1=+0.01 delta=-1.0e-03 done 607s hist {0: 427, 1: 1113, 2: 770, 3: 210}
a0=-0.5 b=0.5 e1=+0.01 delta=-1.0e-04 done 623s hist {0: 455, 1: 1113, 2: 805, 3: 210}
