64 sets 2s hist {0: 48, 1: 14, 2: 2}
128 sets 5s hist {0: 95, 1: 31, 2: 2}
192 sets 8s hist {0: 143, 1: 47, 2: 2}
256 sets 10s hist {0: 190, 1: 63, 2: 3}
320 sets 12s hist {0: 234, 1: 83, 2: 3}
384 sets 14s hist {0: 283, 1: 98, 2: 3}
448 sets 16s hist {0: 329, 1: 116, 2: 3}
512 sets 18s hist {0: 374, 1: 135, 2: 3}
576 sets 19s hist {0: 418, 1: 154, 2: 4}
640 sets 21s hist {0: 462, 1: 174, 2: 4}
704 sets 24s hist {0: 506, 1: 194, 2: 4}
768 sets 27s hist {0: 549, 1: 215, 2: 4}
832 sets 29s hist {0: 587, 1: 239, 2: 6}
896 sets 32s hist {0: 634, 1: 256, 2: 6}
960 sets 34s hist {0: 676, 1: 276, 2: 8}
1024 sets 37s hist {0: 722, 1: 294, 2: 8}
1088 sets 39s hist {0: 769, 1: 310, 2: 9}
1152 sets 41s hist {0: 815, 1: 327, 2: 10}
1216 sets 44s hist {0: 863, 1: 342, 2: 11}
1280 sets 46s hist {0: 906, 1: 362, 2: 12}
1344 sets 48s hist {0: 951, 1: 380, 2: 13}
1408 sets 50s hist {0: 999, 1: 395, 2: 14}
1472 sets 53s hist {0: 1043, 1: 414, 2: 15}
1536 sets 54s hist {0: 1091, 1: 430, 2: 15}
1600 sets 57s hist {0: 1133, 1: 452, 2: 15}
