2048 sets, 16s, hist {0: 3374, 1: 54}
4096 sets, 32s, hist {0: 6699, 1: 127}
6144 sets, 49s, hist {0: 10043, 1: 192}
8192 sets, 66s, hist {0: 13396, 1: 260, 2: 2}
10240 sets, 84s, hist {0: 16736, 1: 322, 2: 2}
12288 sets, 100s, hist {0: 20093, 1: 380, 2: 2}
14336 sets, 116s, hist {0: 23449, 1: 442, 2: 3}
16384 sets, 133s, hist {0: 26790, 1: 505, 2: 3}
18432 sets, 150s, hist {0: 30142, 1: 567, 2: 3}
20480 sets, 166s, hist {0: 33484, 1: 623, 2: 3}
22528 sets, 181s, hist {0: 36811, 1: 688, 2: 3}
24576 sets, 197s, hist {0: 40159, 1: 749, 2: 3}
26624 sets, 214s, hist {0: 43497, 1: 812, 2: 3}
28672 sets, 230s, hist {0: 46833, 1: 885, 2: 3}
30720 sets, 248s, hist {0: 50169, 1: 947, 2: 4}
32768 sets, 266s, hist {0: 53492, 1: 1014, 2: 4}
34816 sets, 281s, hist {0: 56847, 1: 1080, 2: 5}
36864 sets, 299s, hist {0: 60176, 1: 1139, 2: 5}
38912 sets, 315s, hist {0: 63522, 1: 1194, 2: 5}
40960 sets, 333s, hist {0: 66872, 1: 1255, 2: 5}
43008 sets, 350s, hist {0: 70220, 1: 1315, 2: 5}
45056 sets, 367s, hist {0: 73580, 1: 1381, 2: 6}
47104 sets, 384s, hist {0: 76917, 1: 1454, 2: 6}
49152 sets, 400s, hist {0: 80255, 1: 1520, 2: 7}
51200 sets, 418s, hist {0: 83594, 1: 1591, 2: 7}
53248 sets, 435s, hist {0: 86953, 1: 1644, 2: 7}
55296 sets, 454s, hist {0: 90286, 1: 1710, 2: 7}
57344 sets, 469s, hist {0: 93621, 1: 1777, 2: 7}
59392 sets, 488s, hist {0: 96979, 1: 1834, 2: 7}
61440 sets, 504s, hist {0: 100333, 1: 1892, 2: 7}
63488 sets, 519s, hist {0: 103672, 1: 1961, 2: 9}
65536 sets, 536s, hist {0: 107011, 1: 2024, 2: 11}
67584 sets, 554s, hist {0: 110346, 1: 2092, 2: 11}
69632 sets, 570s, hist {0: 113708, 1: 2145, 2: 11}
71680 sets, 586s, hist {0: 117064, 1: 2197, 2: 12}
73728 sets, 605s, hist {0: 120415, 1: 2257, 2: 14}
75776 sets, 622s, hist {0: 123786, 1: 2318, 2: 15}
77824 sets, 639s, hist {0: 127102, 1: 2396, 2: 15}
79872 sets, 654s, hist {0: 130445, 1: 2458, 2: 15}
81920 sets, 671s, hist {0: 133806, 1: 2508, 2: 17}
83968 sets, 688s, hist {0: 137135, 1: 2568, 2: 17}
86016 sets, 706s, hist {0: 140495, 1: 2629, 2: 18}
88064 sets, 721s, hist {0: 143847, 1: 2688, 2: 18}
90112 sets, 737s, hist {0: 147166, 1: 2748, 2: 18}
92160 sets, 753s, hist {0: 150509, 1: 2804, 2: 19}
94208 sets, 769s, hist {0: 153852, 1: 2854, 2: 19}
