2048 sets, 25s, hist {0: 3327, 1: 68}
4096 sets, 47s, hist {0: 6696, 1: 122}
6144 sets, 70s, hist {0: 10045, 1: 179, 2: 1}
8192 sets, 90s, hist {0: 13383, 1: 240, 2: 1}
10240 sets, 113s, hist {0: 16754, 1: 289, 2: 1}
12288 sets, 133s, hist {0: 20099, 1: 357, 2: 2}
14336 sets, 155s, hist {0: 23460, 1: 419, 2: 2}
16384 sets, 175s, hist {0: 26787, 1: 489, 2: 2}
18432 sets, 197s, hist {0: 30132, 1: 546, 2: 2}
20480 sets, 220s, hist {0: 33484, 1: 605, 2: 2}
22528 sets, 241s, hist {0: 36844, 1: 669, 2: 2}
24576 sets, 264s, hist {0: 40182, 1: 729, 2: 2}
26624 sets, 288s, hist {0: 43518, 1: 795, 2: 2}
28672 sets, 308s, hist {0: 46889, 1: 856, 2: 2}
30720 sets, 329s, hist {0: 50233, 1: 914, 2: 2}
32768 sets, 352s, hist {0: 53561, 1: 980, 2: 2}
34816 sets, 376s, hist {0: 56903, 1: 1044, 2: 3}
36864 sets, 397s, hist {0: 60249, 1: 1100, 2: 3}
38912 sets, 418s, hist {0: 63588, 1: 1158, 2: 3}
40960 sets, 439s, hist {0: 66952, 1: 1212, 2: 3}
43008 sets, 460s, hist {0: 70304, 1: 1270, 2: 4}
45056 sets, 483s, hist {0: 73625, 1: 1338, 2: 4}
47104 sets, 503s, hist {0: 76990, 1: 1391, 2: 4}
49152 sets, 525s, hist {0: 80318, 1: 1458, 2: 5}
51200 sets, 548s, hist {0: 83676, 1: 1525, 2: 5}
53248 sets, 572s, hist {0: 87010, 1: 1592, 2: 5}
55296 sets, 597s, hist {0: 90377, 1: 1646, 2: 5}
57344 sets, 625s, hist {0: 93711, 1: 1707, 2: 5}
59392 sets, 652s, hist {0: 97043, 1: 1781, 2: 5}
61440 sets, 677s, hist {0: 100396, 1: 1835, 2: 5}
63488 sets, 703s, hist {0: 103721, 1: 1904, 2: 5}
65536 sets, 728s, hist {0: 107096, 1: 1945, 2: 5}
67584 sets, 755s, hist {0: 110454, 1: 2000, 2: 5}
69632 sets, 785s, hist {0: 113810, 1: 2063, 2: 5}
71680 sets, 813s, hist {0: 117186, 1: 2121, 2: 5}
73728 sets, 838s, hist {0: 120507, 1: 2186, 2: 7}
75776 sets, 864s, hist {0: 123822, 1: 2247, 2: 7}
77824 sets, 890s, hist {0: 127173, 1: 2304, 2: 7}
79872 sets, 916s, hist {0: 130515, 1: 2367, 2: 9}
81920 sets, 941s, hist {0: 133863, 1: 2416, 2: 9}
83968 sets, 967s, hist {0: 137156, 1: 2490, 2: 9}
86016 sets, 993s, hist {0: 140508, 1: 2551, 2: 9}
88064 sets, 1021s, hist {0: 143872, 1: 2609, 2: 9}
90112 sets, 1045s, hist {0: 147219, 1: 2666, 2: 9}
