2048 sets, 18s, hist {0: 3147, 1: 245}
4096 sets, 37s, hist {0: 6329, 1: 478}
6144 sets, 56s, hist {0: 9516, 1: 716}
8192 sets, 73s, hist {0: 12660, 1: 966}
10240 sets, 95s, hist {0: 15828, 1: 1213}
12288 sets, 114s, hist {0: 19012, 1: 1448}
14336 sets, 132s, hist {0: 22205, 1: 1684}
16384 sets, 151s, hist {0: 25360, 1: 1925}
18432 sets, 167s, hist {0: 28524, 1: 2173}
20480 sets, 186s, hist {0: 31696, 1: 2401}
22528 sets, 205s, hist {0: 34871, 1: 2643}
24576 sets, 223s, hist {0: 38005, 1: 2890, 2: 1}
26624 sets, 242s, hist {0: 41176, 1: 3130, 2: 1}
28672 sets, 261s, hist {0: 44338, 1: 3383, 2: 1}
30720 sets, 279s, hist {0: 47528, 1: 3628, 2: 1}
32768 sets, 296s, hist {0: 50660, 1: 3896, 2: 1}
34816 sets, 314s, hist {0: 53840, 1: 4130, 2: 1}
36864 sets, 333s, hist {0: 57030, 1: 4362, 2: 1}
38912 sets, 350s, hist {0: 60185, 1: 4602, 2: 2}
40960 sets, 368s, hist {0: 63342, 1: 4851, 2: 2}
43008 sets, 387s, hist {0: 66513, 1: 5087, 2: 3}
45056 sets, 405s, hist {0: 69668, 1: 5320, 2: 3}
47104 sets, 424s, hist {0: 72855, 1: 5561, 2: 3}
49152 sets, 441s, hist {0: 76031, 1: 5805, 2: 3}
51200 sets, 461s, hist {0: 79205, 1: 6042, 2: 3}
53248 sets, 480s, hist {0: 82373, 1: 6291, 2: 3}
55296 sets, 497s, hist {0: 85540, 1: 6532, 2: 3}
57344 sets, 514s, hist {0: 88706, 1: 6778, 2: 3}
59392 sets, 533s, hist {0: 91847, 1: 7027, 2: 3}
61440 sets, 550s, hist {0: 95034, 1: 7257, 2: 3}
63488 sets, 568s, hist {0: 98202, 1: 7496, 2: 3}
65536 sets, 585s, hist {0: 101375, 1: 7738, 2: 3}
67584 sets, 604s, hist {0: 104531, 1: 7981, 2: 3}
69632 sets, 624s, hist {0: 107700, 1: 8224, 2: 3}
71680 sets, 642s, hist {0: 110870, 1: 8465, 2: 3}
73728 sets, 659s, hist {0: 114016, 1: 8710, 2: 3}
75776 sets, 677s, hist {0: 117152, 1: 8968, 2: 4}
77824 sets, 696s, hist {0: 120338, 1: 9211, 2: 4}
