data/F15_kklstar_sweep.jsonl: old 4 -> new 4 [('S', ['3.66e+08']), ('USU', ['0.587', '3.38', '25'])]
data/F15_kklstar_sweep.jsonl: old 4 -> new 4 [('S', ['6.03e+08']), ('USU', ['0.0619', '0.968', '67.8'])]
data/F15_kklstar_sweep.jsonl: old 4 -> new 4 [('S', ['1.35e+08']), ('USU', ['0.131', '0.968', '112'])]
data/F15_kklstar_sweep.jsonl: old 4 -> new 4 [('U', ['4.06e+06']), ('SUS', ['0.0292', '4.34', '41.2'])]
data/F15_kklstar_sweep.jsonl: old 4 -> new 4 [('U', ['3.16e+06']), ('SUS', ['1.24', '5.57', '25'])]
data/F15_kklstar_sweep.jsonl: old 4 -> new 4 [('S', ['1.73e+08']), ('USU', ['0.131', '5.57', '32'])]
data/F15_kklstar_sweep.jsonl: old 4 -> new 4 [('S', ['2.22e+08']), ('USU', ['0.216', '5.57', '19.4'])]
data/F15_kklstar_sweep.jsonl: old 4 -> new 4 [('S', ['1.05e+08']), ('USU', ['0.131', '1.6', '87.1'])]
data/F15_kklstar_sweep.jsonl: old 4 -> new 4 [('S', ['2.22e+08']), ('USU', ['0.102', '0.968', '52.8'])]
data/F15_kklstar_sweep.jsonl: old 4 -> new 4 [('U', ['1.1e+07']), ('SUS', ['0.0375', '2.63', '41.2'])]
data/F15_kklstar_sweep.jsonl: old 4 -> new 4 [('S', ['3.66e+08']), ('USU', ['0.102', '7.15', '15.1'])]
data/F15_kklstar_sweep.jsonl: old 4 -> new 4 [('U', ['1.82e+07']), ('SUS', ['0.0794', '3.38', '41.2'])]
data/F15_kklstar_sweep.jsonl: old 4 -> new 4 [('S', ['1.73e+08']), ('USU', ['0.0619', '1.6', '67.8'])]
data/F15_kklstar_sweep.jsonl: old 4 -> new 4 [('U', ['6.7e+06']), ('SUS', ['0.0794', '3.38', '32'])]
data/F15_kklstar_sweep.jsonl: old 4 -> new 4 [('S', ['4.7e+08']), ('USU', ['0.216', '0.587', '52.8'])]
data/F15_kklstar_sweep.jsonl: old 4 -> new 4 [('S', ['2.85e+08']), ('USU', ['0.0794', '0.968', '87.1'])]
data/F15_kklstar_sweep.jsonl: old 4 -> new 4 [('S', ['1.73e+08']), ('USU', ['2.05', '4.34', '19.4'])]
data/F15_kklstar_sweep.jsonl: old 4 -> new 4 [('U', ['1.42e+07']), ('SUS', ['0.968', '2.63', '32'])]
data/F15_kklstar_sweep.jsonl: old 4 -> new 4 [('U', ['5.22e+06']), ('SUS', ['0.356', '4.34', '41.2'])]
data/F15_kklstar_sweep.jsonl: old 4 -> new 4 [('S', ['3.66e+08']), ('USU', ['0.0375', '2.63', '67.8'])]
data/F15_kklstar_sweep.jsonl: old 4 -> new 4 [('U', ['5.22e+06']), ('SUS', ['0.0619', '3.38', '41.2'])]
data/F15_kklstar_sweep.jsonl: old 4 -> new 4 [('U', ['8.6e+06']), ('SUS', ['0.0375', '2.05', '87.1'])]
data/F15_kklstar_sweep.jsonl: old 4 -> new 4 [('U', ['4.06e+06']), ('SUS', ['0.754', '3.38', '25'])]
data/F15_kklstar_sweep.jsonl: old 4 -> new 4 [('S', ['4.95e+07']), ('USU', ['0.587', '1.6', '67.8'])]
DONE {'4->4': 24}
