seed: 3 [([], []), ([0.6261014622750635, 2.029004526795348, 14.399481219986765], ['S', 'U', 'S'])] score 3.0
gen 0: sigma 0.15 best score 3.0000 totals {np.int64(0): np.int64(62), np.int64(1): np.int64(63), np.int64(2): np.int64(3)} 10s
gen 1: sigma 0.15 best score 3.0000 totals {np.int64(0): np.int64(54), np.int64(1): np.int64(72), np.int64(2): np.int64(2)} 6s
gen 2: sigma 0.145 best score 3.0000 totals {np.int64(0): np.int64(61), np.int64(1): np.int64(66), np.int64(2): np.int64(1)} 6s
gen 3: sigma 0.145 best score 3.0000 totals {np.int64(0): np.int64(58), np.int64(1): np.int64(66), np.int64(2): np.int64(4)} 10s
gen 4: sigma 0.141 best score 3.0000 totals {np.int64(0): np.int64(58), np.int64(1): np.int64(64), np.int64(2): np.int64(6)} 12s
gen 5: sigma 0.141 best score 3.0000 totals {np.int64(0): np.int64(59), np.int64(1): np.int64(59), np.int64(2): np.int64(10)} 14s
gen 6: sigma 0.137 best score 3.0000 totals {np.int64(0): np.int64(61), np.int64(1): np.int64(61), np.int64(2): np.int64(6)} 12s
gen 7: sigma 0.137 best score 3.0000 totals {np.int64(0): np.int64(58), np.int64(1): np.int64(65), np.int64(2): np.int64(5)} 12s
gen 8: sigma 0.133 best score 3.0000 totals {np.int64(0): np.int64(54), np.int64(1): np.int64(66), np.int64(2): np.int64(8)} 14s
gen 9: sigma 0.133 best score 3.0000 totals {np.int64(0): np.int64(62), np.int64(1): np.int64(58), np.int64(2): np.int64(8)} 12s
gen 10: sigma 0.129 best score 3.0000 totals {np.int64(0): np.int64(48), np.int64(1): np.int64(68), np.int64(2): np.int64(12)} 15s
gen 11: sigma 0.129 best score 3.0000 totals {np.int64(0): np.int64(46), np.int64(1): np.int64(70), np.int64(2): np.int64(12)} 16s
gen 12: sigma 0.125 best score 3.0000 totals {np.int64(0): np.int64(57), np.int64(1): np.int64(63), np.int64(2): np.int64(8)} 13s
gen 13: sigma 0.125 best score 3.0000 totals {np.int64(0): np.int64(40), np.int64(1): np.int64(75), np.int64(2): np.int64(13)} 15s
gen 14: sigma 0.121 best score 3.0000 totals {np.int64(0): np.int64(55), np.int64(1): np.int64(59), np.int64(2): np.int64(14)} 15s
gen 15: sigma 0.121 best score 3.0000 totals {np.int64(0): np.int64(64), np.int64(1): np.int64(57), np.int64(2): np.int64(7)} 11s
gen 16: sigma 0.118 best score 3.0000 totals {np.int64(0): np.int64(47), np.int64(1): np.int64(70), np.int64(2): np.int64(11)} 16s
gen 17: sigma 0.118 best score 3.0000 totals {np.int64(0): np.int64(55), np.int64(1): np.int64(64), np.int64(2): np.int64(9)} 14s
gen 18: sigma 0.114 best score 3.0000 totals {np.int64(0): np.int64(56), np.int64(1): np.int64(63), np.int64(2): np.int64(9)} 12s
gen 19: sigma 0.114 best score 3.0000 totals {np.int64(0): np.int64(47), np.int64(1): np.int64(73), np.int64(2): np.int64(8)} 14s
gen 20: sigma 0.111 best score 3.0000 totals {np.int64(0): np.int64(41), np.int64(1): np.int64(76), np.int64(2): np.int64(11)} 15s
gen 21: sigma 0.111 best score 3.0000 totals {np.int64(0): np.int64(56), np.int64(1): np.int64(67), np.int64(2): np.int64(5)} 15s
gen 22: sigma 0.107 best score 3.0000 totals {np.int64(0): np.int64(53), np.int64(1): np.int64(61), np.int64(2): np.int64(14)} 15s
gen 23: sigma 0.107 best score 3.0000 totals {np.int64(0): np.int64(42), np.int64(1): np.int64(74), np.int64(2): np.int64(12)} 15s
gen 24: sigma 0.104 best score 3.0000 totals {np.int64(0): np.int64(48), np.int64(1): np.int64(68), np.int64(2): np.int64(12)} 14s
gen 25: sigma 0.104 best score 3.0000 totals {np.int64(0): np.int64(41), np.int64(1): np.int64(72), np.int64(2): np.int64(15)} 17s
gen 26: sigma 0.101 best score 3.0000 totals {np.int64(0): np.int64(42), np.int64(1): np.int64(79), np.int64(2): np.int64(7)} 16s
gen 27: sigma 0.101 best score 3.0000 totals {np.int64(0): np.int64(58), np.int64(1): np.int64(58), np.int64(2): np.int64(12)} 13s
gen 28: sigma 0.0979 best score 3.0000 totals {np.int64(0): np.int64(49), np.int64(1): np.int64(67), np.int64(2): np.int64(12)} 14s
gen 29: sigma 0.0979 best score 3.0000 totals {np.int64(0): np.int64(48), np.int64(1): np.int64(61), np.int64(2): np.int64(19)} 15s
gen 30: sigma 0.095 best score 3.0000 totals {np.int64(0): np.int64(41), np.int64(1): np.int64(71), np.int64(2): np.int64(16)} 17s
gen 31: sigma 0.095 best score 3.0000 totals {np.int64(0): np.int64(41), np.int64(1): np.int64(73), np.int64(2): np.int64(14)} 18s
gen 32: sigma 0.0921 best score 3.0000 totals {np.int64(0): np.int64(48), np.int64(1): np.int64(70), np.int64(2): np.int64(10)} 15s
gen 33: sigma 0.0921 best score 3.0000 totals {np.int64(0): np.int64(56), np.int64(1): np.int64(60), np.int64(2): np.int64(12)} 14s
gen 34: sigma 0.0894 best score 3.0000 totals {np.int64(0): np.int64(38), np.int64(1): np.int64(72), np.int64(2): np.int64(18)} 16s
gen 35: sigma 0.0894 best score 3.0000 totals {np.int64(0): np.int64(41), np.int64(1): np.int64(72), np.int64(2): np.int64(15)} 18s
gen 36: sigma 0.0867 best score 3.0000 totals {np.int64(0): np.int64(42), np.int64(1): np.int64(72), np.int64(2): np.int64(14)} 19s
gen 37: sigma 0.0867 best score 3.0000 totals {np.int64(0): np.int64(43), np.int64(1): np.int64(68), np.int64(2): np.int64(17)} 17s
