seed: 4 [([7.096820647674752], ['S']), ([0.004140199576459222, 0.006126804780573316, 0.06434438263328991], ['U', 'S', 'U'])] score 4.0
gen 0: sigma 0.03 best score 4.0000 totals {np.int64(0): np.int64(62), np.int64(1): np.int64(65), np.int64(2): np.int64(1)} 25s
gen 1: sigma 0.03 best score 4.0000 totals {np.int64(0): np.int64(33), np.int64(1): np.int64(94), np.int64(2): np.int64(1)} 36s
gen 2: sigma 0.0291 best score 4.0000 totals {np.int64(0): np.int64(49), np.int64(1): np.int64(77), np.int64(2): np.int64(2)} 30s
gen 3: sigma 0.0291 best score 4.0000 totals {np.int64(0): np.int64(43), np.int64(1): np.int64(83), np.int64(2): np.int64(2)} 33s
gen 4: sigma 0.0282 best score 4.0000 totals {np.int64(0): np.int64(38), np.int64(1): np.int64(85), np.int64(2): np.int64(5)} 35s
gen 5: sigma 0.0282 best score 4.0000 totals {np.int64(0): np.int64(26), np.int64(1): np.int64(90), np.int64(2): np.int64(12)} 38s
gen 6: sigma 0.0274 best score 4.0000 totals {np.int64(0): np.int64(43), np.int64(1): np.int64(74), np.int64(2): np.int64(11)} 32s
gen 7: sigma 0.0274 best score 4.0000 totals {np.int64(0): np.int64(32), np.int64(1): np.int64(81), np.int64(2): np.int64(15)} 36s
gen 8: sigma 0.0266 best score 4.0000 totals {np.int64(0): np.int64(18), np.int64(1): np.int64(100), np.int64(2): np.int64(10)} 41s
gen 9: sigma 0.0266 best score 4.0000 totals {np.int64(0): np.int64(29), np.int64(1): np.int64(84), np.int64(2): np.int64(15)} 37s
gen 10: sigma 0.0258 best score 4.0000 totals {np.int64(0): np.int64(26), np.int64(1): np.int64(89), np.int64(2): np.int64(13)} 38s
gen 11: sigma 0.0258 best score 4.0000 totals {np.int64(0): np.int64(32), np.int64(1): np.int64(83), np.int64(2): np.int64(13)} 35s
gen 12: sigma 0.025 best score 4.0000 totals {np.int64(0): np.int64(24), np.int64(1): np.int64(86), np.int64(2): np.int64(18)} 39s
gen 13: sigma 0.025 best score 4.0000 totals {np.int64(0): np.int64(26), np.int64(1): np.int64(89), np.int64(2): np.int64(13)} 38s
gen 14: sigma 0.0242 best score 4.0000 totals {np.int64(0): np.int64(23), np.int64(1): np.int64(83), np.int64(2): np.int64(22)} 38s
gen 15: sigma 0.0242 best score 4.0000 totals {np.int64(0): np.int64(33), np.int64(1): np.int64(82), np.int64(2): np.int64(13)} 35s
gen 16: sigma 0.0235 best score 4.0000 totals {np.int64(0): np.int64(18), np.int64(1): np.int64(95), np.int64(2): np.int64(15)} 41s
gen 17: sigma 0.0235 best score 4.0000 totals {np.int64(0): np.int64(24), np.int64(1): np.int64(81), np.int64(2): np.int64(23)} 39s
gen 18: sigma 0.0228 best score 4.0000 totals {np.int64(0): np.int64(30), np.int64(1): np.int64(85), np.int64(2): np.int64(13)} 36s
gen 19: sigma 0.0228 best score 4.0000 totals {np.int64(0): np.int64(37), np.int64(1): np.int64(78), np.int64(2): np.int64(13)} 35s
gen 20: sigma 0.0221 best score 4.0000 totals {np.int64(0): np.int64(21), np.int64(1): np.int64(85), np.int64(2): np.int64(22)} 40s
gen 21: sigma 0.0221 best score 4.0000 totals {np.int64(0): np.int64(25), np.int64(1): np.int64(85), np.int64(2): np.int64(18)} 38s
gen 22: sigma 0.0215 best score 4.0000 totals {np.int64(0): np.int64(23), np.int64(1): np.int64(91), np.int64(2): np.int64(14)} 39s
gen 23: sigma 0.0215 best score 4.0000 totals {np.int64(0): np.int64(24), np.int64(1): np.int64(90), np.int64(2): np.int64(14)} 39s
gen 24: sigma 0.0208 best score 4.0000 totals {np.int64(0): np.int64(25), np.int64(1): np.int64(88), np.int64(2): np.int64(15)} 38s
gen 25: sigma 0.0208 best score 4.0000 totals {np.int64(0): np.int64(27), np.int64(1): np.int64(86), np.int64(2): np.int64(15)} 38s
gen 26: sigma 0.0202 best score 4.0000 totals {np.int64(0): np.int64(23), np.int64(1): np.int64(83), np.int64(2): np.int64(22)} 39s
gen 27: sigma 0.0202 best score 4.0000 totals {np.int64(0): np.int64(20), np.int64(1): np.int64(84), np.int64(2): np.int64(24)} 41s
gen 28: sigma 0.0196 best score 4.0000 totals {np.int64(0): np.int64(25), np.int64(1): np.int64(93), np.int64(2): np.int64(10)} 38s
gen 29: sigma 0.0196 best score 4.0000 totals {np.int64(0): np.int64(14), np.int64(1): np.int64(100), np.int64(2): np.int64(14)} 42s
gen 30: sigma 0.019 best score 4.0000 totals {np.int64(0): np.int64(25), np.int64(1): np.int64(86), np.int64(2): np.int64(17)} 38s
gen 31: sigma 0.019 best score 4.0000 totals {np.int64(0): np.int64(20), np.int64(1): np.int64(89), np.int64(2): np.int64(19)} 40s
gen 32: sigma 0.0184 best score 4.0000 totals {np.int64(0): np.int64(23), np.int64(1): np.int64(88), np.int64(2): np.int64(17)} 39s
gen 33: sigma 0.0184 best score 4.0000 totals {np.int64(0): np.int64(17), np.int64(1): np.int64(91), np.int64(2): np.int64(20)} 41s
gen 34: sigma 0.0179 best score 4.0000 totals {np.int64(0): np.int64(19), np.int64(1): np.int64(79), np.int64(2): np.int64(30)} 42s
gen 35: sigma 0.0179 best score 4.0000 totals {np.int64(0): np.int64(18), np.int64(1): np.int64(89), np.int64(2): np.int64(21)} 41s
gen 36: sigma 0.0173 best score 4.0000 totals {np.int64(0): np.int64(20), np.int64(1): np.int64(86), np.int64(2): np.int64(22)} 40s
gen 37: sigma 0.0173 best score 4.0000 totals {np.int64(0): np.int64(25), np.int64(1): np.int64(83), np.int64(2): np.int64(20)} 39s
gen 38: sigma 0.0168 best score 4.0000 totals {np.int64(0): np.int64(19), np.int64(1): np.int64(82), np.int64(2): np.int64(27)} 41s
gen 39: sigma 0.0168 best score 4.0000 totals {np.int64(0): np.int64(17), np.int64(1): np.int64(86), np.int64(2): np.int64(25)} 42s
gen 40: sigma 0.0163 best score 4.0000 totals {np.int64(0): np.int64(7), np.int64(1): np.int64(94), np.int64(2): np.int64(27)} 45s
gen 41: sigma 0.0163 best score 4.0000 totals {np.int64(0): np.int64(19), np.int64(1): np.int64(90), np.int64(2): np.int64(19)} 41s
gen 42: sigma 0.0158 best score 4.0000 totals {np.int64(0): np.int64(14), np.int64(1): np.int64(96), np.int64(2): np.int64(18)} 43s
gen 43: sigma 0.0158 best score 4.0000 totals {np.int64(0): np.int64(14), np.int64(1): np.int64(95), np.int64(2): np.int64(19)} 43s
gen 44: sigma 0.0153 best score 4.0000 totals {np.int64(0): np.int64(19), np.int64(1): np.int64(86), np.int64(2): np.int64(23)} 41s
gen 45: sigma 0.0153 best score 4.0000 totals {np.int64(0): np.int64(18), np.int64(1): np.int64(87), np.int64(2): np.int64(23)} 41s
gen 46: sigma 0.0149 best score 4.0000 totals {np.int64(0): np.int64(24), np.int64(1): np.int64(86), np.int64(2): np.int64(18)} 38s
gen 47: sigma 0.0149 best score 4.0000 totals {np.int64(0): np.int64(26), np.int64(1): np.int64(90), np.int64(2): np.int64(12)} 38s
gen 48: sigma 0.0144 best score 4.0000 totals {np.int64(0): np.int64(18), np.int64(1): np.int64(81), np.int64(2): np.int64(29)} 41s
gen 49: sigma 0.0144 best score 4.0000 totals {np.int64(0): np.int64(19), np.int64(1): np.int64(85), np.int64(2): np.int64(24)} 40s
gen 50: sigma 0.014 best score 4.0000 totals {np.int64(0): np.int64(16), np.int64(1): np.int64(87), np.int64(2): np.int64(25)} 41s
gen 51: sigma 0.014 best score 4.0000 totals {np.int64(0): np.int64(14), np.int64(1): np.int64(102), np.int64(2): np.int64(12)} 41s
gen 52: sigma 0.0136 best score 4.0000 totals {np.int64(0): np.int64(13), np.int64(1): np.int64(91), np.int64(2): np.int64(24)} 42s
gen 53: sigma 0.0136 best score 4.0000 totals {np.int64(0): np.int64(16), np.int64(1): np.int64(86), np.int64(2): np.int64(26)} 42s
gen 54: sigma 0.0132 best score 4.0000 totals {np.int64(0): np.int64(20), np.int64(1): np.int64(85), np.int64(2): np.int64(23)} 40s
gen 55: sigma 0.0132 best score 4.0000 totals {np.int64(0): np.int64(18), np.int64(1): np.int64(81), np.int64(2): np.int64(29)} 41s
gen 56: sigma 0.0128 best score 4.0000 totals {np.int64(0): np.int64(11), np.int64(1): np.int64(91), np.int64(2): np.int64(26)} 43s
gen 57: sigma 0.0128 best score 4.0000 totals {np.int64(0): np.int64(17), np.int64(1): np.int64(84), np.int64(2): np.int64(27)} 41s
gen 58: sigma 0.0124 best score 4.0000 totals {np.int64(0): np.int64(12), np.int64(1): np.int64(91), np.int64(2): np.int64(25)} 42s
gen 59: sigma 0.0124 best score 4.0000 totals {np.int64(0): np.int64(9), np.int64(1): np.int64(100), np.int64(2): np.int64(19)} 44s
gen 60: sigma 0.012 best score 4.0000 totals {np.int64(0): np.int64(15), np.int64(1): np.int64(87), np.int64(2): np.int64(26)} 41s
gen 61: sigma 0.012 best score 4.0000 totals {np.int64(0): np.int64(13), np.int64(1): np.int64(78), np.int64(2): np.int64(37)} 43s
gen 62: sigma 0.0117 best score 4.0000 totals {np.int64(0): np.int64(14), np.int64(1): np.int64(85), np.int64(2): np.int64(29)} 42s
