seed: 4 [([241.53424863175965], ['S']), ([0.029382253660055483, 0.06434438223986316, 0.09521895295863479], ['U', 'S', 'U'])] score 4.846
gen 0: sigma 0.03 best score 4.8464 totals {np.int64(0): np.int64(114), np.int64(1): np.int64(14)} 2s
gen 1: sigma 0.03 best score 4.8464 totals {np.int64(0): np.int64(107), np.int64(1): np.int64(20), np.int64(2): np.int64(1)} 2s
gen 2: sigma 0.0291 best score 4.8464 totals {np.int64(0): np.int64(93), np.int64(1): np.int64(31), np.int64(2): np.int64(4)} 3s
gen 3: sigma 0.0291 best score 4.8464 totals {np.int64(0): np.int64(95), np.int64(1): np.int64(27), np.int64(2): np.int64(6)} 4s
gen 4: sigma 0.0282 best score 4.8464 totals {np.int64(0): np.int64(88), np.int64(1): np.int64(31), np.int64(2): np.int64(9)} 4s
gen 5: sigma 0.0282 best score 4.8464 totals {np.int64(0): np.int64(89), np.int64(1): np.int64(28), np.int64(2): np.int64(11)} 6s
gen 6: sigma 0.0274 best score 4.8464 totals {np.int64(0): np.int64(91), np.int64(1): np.int64(22), np.int64(2): np.int64(15)} 4s
gen 7: sigma 0.0274 best score 4.8464 totals {np.int64(0): np.int64(82), np.int64(1): np.int64(31), np.int64(2): np.int64(15)} 4s
gen 8: sigma 0.0266 best score 4.8464 totals {np.int64(0): np.int64(59), np.int64(1): np.int64(42), np.int64(2): np.int64(27)} 4s
gen 9: sigma 0.0266 best score 4.8464 totals {np.int64(0): np.int64(54), np.int64(1): np.int64(42), np.int64(2): np.int64(32)} 5s
gen 10: sigma 0.0258 best score 4.8464 totals {np.int64(0): np.int64(39), np.int64(1): np.int64(53), np.int64(2): np.int64(36)} 6s
gen 11: sigma 0.0258 best score 4.8464 totals {np.int64(0): np.int64(39), np.int64(1): np.int64(53), np.int64(2): np.int64(36)} 5s
gen 12: sigma 0.025 best score 4.8464 totals {np.int64(0): np.int64(29), np.int64(1): np.int64(51), np.int64(2): np.int64(48)} 6s
gen 13: sigma 0.025 best score 4.8464 totals {np.int64(0): np.int64(20), np.int64(1): np.int64(65), np.int64(2): np.int64(43)} 6s
