2048 sets, 140s, hist {0: 2241, 1: 1012, 2: 41, 3: 2}
4096 sets, 280s, hist {0: 4496, 1: 2003, 2: 80, 3: 3}
6144 sets, 420s, hist {0: 6756, 1: 2986, 2: 123, 3: 5}
8192 sets, 563s, hist {0: 9004, 1: 3991, 2: 165, 3: 5}
10240 sets, 705s, hist {0: 11236, 1: 4994, 2: 209, 3: 8}
12288 sets, 845s, hist {0: 13499, 1: 5985, 2: 244, 3: 8}
14336 sets, 986s, hist {0: 15770, 1: 6961, 2: 287, 3: 8}
16384 sets, 1127s, hist {0: 18012, 1: 7968, 2: 329, 3: 9}
18432 sets, 1272s, hist {0: 20253, 1: 8964, 2: 369, 3: 9}
20480 sets, 1414s, hist {0: 22513, 1: 9964, 2: 406, 3: 10}
22528 sets, 1557s, hist {0: 24758, 1: 10972, 2: 445, 3: 11}
24576 sets, 1698s, hist {0: 27000, 1: 11971, 2: 485, 3: 13}
26624 sets, 1840s, hist {0: 29258, 1: 12969, 2: 521, 3: 14}
28672 sets, 1982s, hist {0: 31500, 1: 13975, 2: 561, 3: 14}
30720 sets, 2124s, hist {0: 33756, 1: 14970, 2: 604, 3: 15}
32768 sets, 2263s, hist {0: 36018, 1: 15964, 2: 641, 3: 15}
34816 sets, 2406s, hist {0: 38291, 1: 16951, 2: 673, 3: 17}
36864 sets, 2548s, hist {0: 40547, 1: 17959, 2: 707, 3: 18}
38912 sets, 2692s, hist {0: 42810, 1: 18950, 2: 747, 3: 18}
40960 sets, 2839s, hist {0: 45069, 1: 19952, 2: 785, 3: 19}
43008 sets, 2984s, hist {0: 47343, 1: 20945, 2: 821, 3: 19}
45056 sets, 3134s, hist {0: 49601, 1: 21945, 2: 854, 3: 19}
47104 sets, 3280s, hist {0: 51858, 1: 22951, 2: 884, 3: 19}
49152 sets, 3427s, hist {0: 54137, 1: 23929, 2: 925, 3: 19}
51200 sets, 3576s, hist {0: 56368, 1: 24943, 2: 966, 3: 21}
53248 sets, 3722s, hist {0: 58636, 1: 25938, 2: 1003, 3: 22}
55296 sets, 3869s, hist {0: 60895, 1: 26943, 2: 1039, 3: 22}
57344 sets, 4015s, hist {0: 63135, 1: 27938, 2: 1085, 3: 24}
