2048 sets, 70s, hist {0: 3410, 1: 683, 2: 3}
4096 sets, 142s, hist {0: 6810, 1: 1375, 2: 7}
6144 sets, 212s, hist {0: 10271, 1: 2007, 2: 10}
8192 sets, 282s, hist {0: 13692, 1: 2679, 2: 13}
10240 sets, 352s, hist {0: 17139, 1: 3324, 2: 17}
12288 sets, 421s, hist {0: 20569, 1: 3984, 2: 23}
14336 sets, 492s, hist {0: 24004, 1: 4642, 2: 26}
16384 sets, 560s, hist {0: 27438, 1: 5300, 2: 30}
18432 sets, 631s, hist {0: 30866, 1: 5965, 2: 33}
20480 sets, 701s, hist {0: 34304, 1: 6621, 2: 35}
22528 sets, 770s, hist {0: 37705, 1: 7311, 2: 40}
24576 sets, 839s, hist {0: 41152, 1: 7959, 2: 41}
26624 sets, 907s, hist {0: 44570, 1: 8634, 2: 44}
28672 sets, 977s, hist {0: 48031, 1: 9268, 2: 45}
30720 sets, 1045s, hist {0: 51469, 1: 9924, 2: 47}
32768 sets, 1115s, hist {0: 54906, 1: 10578, 2: 52}
34816 sets, 1187s, hist {0: 58357, 1: 11219, 2: 56}
36864 sets, 1258s, hist {0: 61759, 1: 11909, 2: 60}
38912 sets, 1328s, hist {0: 65190, 1: 12567, 2: 67}
40960 sets, 1398s, hist {0: 68639, 1: 13206, 2: 75}
43008 sets, 1469s, hist {0: 72042, 1: 13897, 2: 77}
45056 sets, 1537s, hist {0: 75491, 1: 14538, 2: 83}
47104 sets, 1609s, hist {0: 78871, 1: 15252, 2: 85}
49152 sets, 1679s, hist {0: 82310, 1: 15899, 2: 94}
51200 sets, 1751s, hist {0: 85701, 1: 16600, 2: 98}
53248 sets, 1822s, hist {0: 89099, 1: 17295, 2: 101}
55296 sets, 1890s, hist {0: 92538, 1: 17950, 2: 103}
