2048 sets, 4s, hist {0: 1993, 1: 55}
4096 sets, 8s, hist {0: 3994, 1: 102}
6144 sets, 12s, hist {0: 6011, 1: 133}
8192 sets, 16s, hist {0: 8011, 1: 181}
10240 sets, 20s, hist {0: 9999, 1: 241}
12288 sets, 24s, hist {0: 12003, 1: 285}
14336 sets, 28s, hist {0: 14003, 1: 333}
16384 sets, 32s, hist {0: 16004, 1: 380}
18432 sets, 36s, hist {0: 17999, 1: 433}
20480 sets, 40s, hist {0: 19989, 1: 491}
22528 sets, 44s, hist {0: 21994, 1: 534}
24576 sets, 48s, hist {0: 23996, 1: 580}
26624 sets, 52s, hist {0: 25996, 1: 628}
28672 sets, 57s, hist {0: 27984, 1: 688}
30720 sets, 61s, hist {0: 29986, 1: 734}
32768 sets, 64s, hist {0: 31983, 1: 785}
34816 sets, 68s, hist {0: 33978, 1: 838}
36864 sets, 72s, hist {0: 35975, 1: 889}
38912 sets, 76s, hist {0: 37960, 1: 952}
40960 sets, 80s, hist {0: 39968, 1: 992}
43008 sets, 84s, hist {0: 41967, 1: 1041}
45056 sets, 89s, hist {0: 43956, 1: 1100}
47104 sets, 92s, hist {0: 45948, 1: 1156}
49152 sets, 97s, hist {0: 47947, 1: 1205}
51200 sets, 100s, hist {0: 49947, 1: 1253}
53248 sets, 104s, hist {0: 51937, 1: 1311}
55296 sets, 108s, hist {0: 53933, 1: 1363}
57344 sets, 112s, hist {0: 55931, 1: 1413}
59392 sets, 116s, hist {0: 57933, 1: 1459}
DONE 60160 117.85127282142639 {0: 58678, 1: 1482}
