2048 sets, 5s, hist {0: 4071, 1: 25}
4096 sets, 9s, hist {0: 8141, 1: 51}
6144 sets, 14s, hist {0: 12207, 1: 81}
8192 sets, 19s, hist {0: 16266, 1: 118}
10240 sets, 24s, hist {0: 20330, 1: 150}
12288 sets, 29s, hist {0: 24408, 1: 168}
14336 sets, 34s, hist {0: 28485, 1: 187}
16384 sets, 39s, hist {0: 32552, 1: 216}
18432 sets, 44s, hist {0: 36625, 1: 239}
20480 sets, 49s, hist {0: 40696, 1: 264}
22528 sets, 54s, hist {0: 44764, 1: 292}
24576 sets, 59s, hist {0: 48833, 1: 319}
26624 sets, 64s, hist {0: 52898, 1: 350}
28672 sets, 69s, hist {0: 56969, 1: 375}
30720 sets, 74s, hist {0: 61048, 1: 392}
32768 sets, 79s, hist {0: 65114, 1: 422}
34816 sets, 84s, hist {0: 69184, 1: 448}
36864 sets, 89s, hist {0: 73260, 1: 468}
38912 sets, 95s, hist {0: 77336, 1: 488}
40960 sets, 100s, hist {0: 81412, 1: 508}
43008 sets, 105s, hist {0: 85485, 1: 531}
45056 sets, 110s, hist {0: 89544, 1: 568}
47104 sets, 115s, hist {0: 93617, 1: 591}
49152 sets, 120s, hist {0: 97686, 1: 618}
51200 sets, 125s, hist {0: 101759, 1: 641}
53248 sets, 130s, hist {0: 105817, 1: 679}
55296 sets, 135s, hist {0: 109887, 1: 705}
57344 sets, 139s, hist {0: 113955, 1: 733}
59392 sets, 144s, hist {0: 118024, 1: 760}
DONE 60160 145.84157752990723 {0: 119550, 1: 770}
