field,root,side,theta,u,rho,quad_log_return,quad_radial_return,quad_log_displacement,native_log_return,native_log_displacement,native_status,inside_default_grid,visited_in_original_run
C0,1,0,-0.9605113314536193,1.8422447210178632,6.31068810808902558759231917945464753,1.84224472101792570426306771985213185,6.31068810808942003250196551953016264,6.25042630677198521318530331991618382e-14,1.8422447209993986,-1.846456321175083e-11,0,True,True
C0,1,1,-0.9605113314536193,2.092244721017863,8.10308392757538442950771972521245674,2.09224472101785664476470580941059036,8.10308392757533293250275140979113968,-6.3552352941905894096424823272731465e-15,2.0922447209951858,-2.2677415500993447e-11,0,True,True
C0,2,0,-0.9605113314536193,2.842244721017863,17.1542288092909859379965556524259506,2.8422447210178353010460780298971752,17.1542288092905107838032001759245837,-2.76989539219701028247983196188154645e-14,2.842244720979607,-3.8256064982533644e-11,0,True,True
C0,2,1,-0.9605113314536193,3.092244721017863,22.026465794806717663522986458845423,3.09224472101806336625503586119368055,22.0264657948111310239859678168127252,2.00366255035861193680547018533061407e-13,3.0922447209734454,-4.441780276920326e-11,0,True,True
Cbeta,1,0,-0.9605113314536193,1.8422447210178632,6.31068810808902558759231917945464753,1.842244721017924056634053254128255,6.31068810808940963482913738760404481,6.0856634053254128254996981131819212e-14,1.8422447209993542,-1.8508972132735835e-11,0,True,True
Cbeta,1,1,-0.9605113314536193,2.092244721017863,8.10308392757538442950771972521245674,2.09224472101785479991449804188703819,8.10308392757531798352668406477120112,-8.20008550195811296181487276419448315e-15,2.0922447209951502,-2.2712942637781453e-11,0,True,True
Cbeta,2,0,-0.9605113314536193,2.842244721017863,17.1542288092909859379965556524259506,2.8422447210178327806263506982342531,17.1542288092904675479465020790331632,-3.02193736493017657468973177066930667e-14,2.842244720979404,-3.845901375143512e-11,0,True,True
Cbeta,2,1,-0.9605113314536193,3.092244721017863,22.026465794806717663522986458845423,3.09224472101806060140345516459641333,22.0264657948110701240771978738096229,1.9760140345516459641333097587868634e-13,3.092244720973904,-4.395905861542815e-11,0,True,True
P0,1,0,-1.0660159994339242,42.59224472101786,3144682864669645581.38291670008971343,42.5923147323731978274903172564852528,3144903035886261453.62807111597661258,7.00113553378274903172564852527519891e-05,24.09701964740929,-18.495225073608573,0,False,False
P0,1,1,-1.0660159994339242,42.84224472101786,4037852725658242230.4959190953206268,42.8418887657055134636727159704824333,4036415686306140195.25052365914220465,-0.000355955312346536327284029517566659239,24.064026308080514,-18.77821841293735,0,False,False
P0,2,0,-1.0660159994339242,43.34224472101786,6657293676747233062.29374311981772232,43.3419853826857629396895809430907384,6655567409162178467.01303826956711429,-0.000259338332097060310419056909261577396,24.044670012838637,-19.297574708179226,0,False,False
P0,2,1,-1.0660159994339242,43.59224472101786,8548134287298032492.81941806628210017,43.5927391804778199242166223070151208,8552362038300996716.29260049136569144,0.000494459459959924216622307015120829699,24.05981011365687,-19.532434607360994,0,False,False
N0,1,0,-0.785398163397555,25.842244721017863,167164588018.52100873754790541415534,25.8419260873747157971634062174862564,167111332241.827116144648609731544052,-0.000318633643147202836593782513743565815,25.827852061943766,-0.01439265907409748,0,True,False
N0,1,1,-0.785398163397555,26.092244721017863,214643579785.916075797349161115920598,26.092473842068901033876994928442276,214692764782.959130038709143677834751,0.000229121051038033876994928442275985025,26.06906571988753,-0.023179001130333887,0,True,False
N0,2,0,-0.785398163397555,26.592244721017863,353887435612.259892350495713692638718,26.5927655283260114551786171014639426,354071790777.580324968792581769163876,0.000520807308148455178617101463942558047,26.593449079925986,0.001204358908122316,0,True,False
N0,2,1,-0.785398163397555,26.842244721017863,454400461972.588293138373160092028524,26.8419740108633297432620292641387914,454277467801.944306645169060194008975,-0.000270710154533256737970735861208649749,26.826545740042448,-0.01569898097541511,0,True,False
Nbeta,1,0,-0.785398163397555,25.842244721017863,167164588018.52100873754790541415534,25.8419260873769225014388866734120167,167111332242.195881435988291470361154,-0.000318633640940498561113326587983267023,25.831994331238622,-0.010250389779240976,0,True,False
Nbeta,1,1,-0.785398163397555,26.092244721017863,214643579785.916075797349161115920598,26.0924738420711031018168437361445623,214692764783.431898092955719677700885,0.00022912105324010181684373614456233734,26.085735930897677,-0.006508790120186347,0,True,False
Nbeta,2,0,-0.785398163397555,26.592244721017863,353887435612.259892350495713692638718,26.5927655283281982110385923205915424,354071790778.354593532128221861701358,0.00052080731033521103859232059154242446,26.54068876188576,-0.0515559591321022,0,True,False
Nbeta,2,1,-0.785398163397555,26.842244721017863,454400461972.588293138373160092028524,26.8419740108655043572023305641316099,454277467802.932184759417017366888867,-0.000270710152358642797669435868390077085,26.843415730313442,0.0011710092955787843,0,True,False
