label,kind,c_exact,m_exact,K_exact,beta_exact,coefficient_vector,origin_count,origin_stability,origin_roots,section_angle,return_edge,edge_kind,edge_D,outside_outer_D,sign_mismatch,known_pair_supported,remote_roots
positive_K_0.00390625,fold,969156431821404178705690370806720419/1000000000000000000000000000000000000,92752999363501949881591208945373579/2500000000000000000000000000000000,48828124999999999999999999999956307129596372768445418488069386505611/12500000000000000000000000000000000000000000000000000000000000000000000,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-92752999363501949881591208945373579/2500000000000000000000000000000000"", ""0"", ""-10"", ""11/5"", ""969156431821404178705690370806720419/1000000000000000000000000000000000000""]",0,,[],-0.9606779110428977,2.010328497117133e+17,scan_cap,1.557392408573179,,False,False,[[18205689.644426107]]
positive_K_0.00390625,pair,96915425428397221848853544000890848833144974560439/100000000000000000000000000000000000000000000000000,92752999363501949881591208945373579/2500000000000000000000000000000000,4660642059155331538504352100233691309281434168051464248067379375179910159861652991/1250000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-92752999363501949881591208945373579/2500000000000000000000000000000000"", ""0"", ""-10"", ""11/5"", ""96915425428397221848853544000890848833144974560439/100000000000000000000000000000000000000000000000000""]",2,SU,"[7.150946467468296, 19.43828783880247]",-0.9606779892391332,2.010328497117133e+17,scan_cap,1.5493616100960708,7.796924705427699e-06,False,True,[[18205689.644426107]]
positive_K_0.00390625,hopf_small,96915425428397221848853544000890848833144974560439/100000000000000000000000000000000000000000000000000,92752999363501949881591208945373579/2500000000000000000000000000000000,4660642059155331538504352100233691309281434168051464248067379375179910159861652991/1250000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1/256000000,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-92752999363501949881591208945373579/2500000000000000000000000000000000"", ""-1/256000000"", ""-10"", ""11/5"", ""96915425428397221848853544000890848833144974560439/100000000000000000000000000000000000000000000000000""]",3,USU,"[0.022759895093526734, 7.150946467468296, 19.43828783880247]",-0.9606779892686417,2.010328497117133e+17,scan_cap,1.549361298599905,7.786109895935311e-06,False,True,[[18205689.644426107]]
positive_K_0.00390625,hopf,96915425428397221848853544000890848833144974560439/100000000000000000000000000000000000000000000000000,92752999363501949881591208945373579/2500000000000000000000000000000000,4660642059155331538504352100233691309281434168051464248067379375179910159861652991/1250000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1/25600000,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-92752999363501949881591208945373579/2500000000000000000000000000000000"", ""-1/25600000"", ""-10"", ""11/5"", ""96915425428397221848853544000890848833144974560439/100000000000000000000000000000000000000000000000000""]",3,USU,"[0.0618678092503679, 7.150946467468296, 19.43828783880247]",-0.9606779895342176,2.010328497117133e+17,scan_cap,1.5493584951715036,7.688776103798034e-06,False,True,[[18205689.644426107]]
positive_K_0.015625,fold,242691594139419884714784311930500799/250000000000000000000000000000000000,369958104161924884129902716919095009/10000000000000000000000000000000000,195312500000000000000000000000043016973963717251449008017755545534101/12500000000000000000000000000000000000000000000000000000000000000000000,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-369958104161924884129902716919095009/10000000000000000000000000000000000"", ""0"", ""-10"", ""11/5"", ""242691594139419884714784311930500799/250000000000000000000000000000000000""]",0,,[],-0.961178037906659,3.855559164343897e+16,integration_failure_bracket,6.810626398985271,,False,False,[[23376568.23177193]]
positive_K_0.015625,pair,9707576559905349565574813776038935648379369280803/10000000000000000000000000000000000000000000000000,369958104161924884129902716919095009/10000000000000000000000000000000000,7457613106317091708130517532915242362468225119005220781917952822269660521524934497/500000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-369958104161924884129902716919095009/10000000000000000000000000000000000"", ""0"", ""-10"", ""11/5"", ""9707576559905349565574813776038935648379369280803/10000000000000000000000000000000000000000000000000""]",2,SU,"[7.150946467468296, 19.43828783880247]",-0.9611783526719502,3.958571520780645e+16,integration_failure_bracket,6.784239341274763,3.0827213953532606e-05,False,True,[[23376568.23177193]]
positive_K_0.015625,hopf_small,9707576559905349565574813776038935648379369280803/10000000000000000000000000000000000000000000000000,369958104161924884129902716919095009/10000000000000000000000000000000000,7457613106317091708130517532915242362468225119005220781917952822269660521524934497/500000000000000000000000000000000000000000000000000000000000000000000000000000000000,-15625000000000000000000000000006163/1000000000000000000000000000000000000000000,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-369958104161924884129902716919095009/10000000000000000000000000000000000"", ""-15625000000000000000000000000006163/1000000000000000000000000000000000000000000"", ""-10"", ""11/5"", ""9707576559905349565574813776038935648379369280803/10000000000000000000000000000000000000000000000000""]",3,USU,"[0.022759895093526734, 7.150946467468296, 19.43828783880247]",-0.9611783527907563,3.958571520780645e+16,integration_failure_bracket,6.784237625089077,3.078377831444712e-05,False,True,[[23376568.23177193]]
positive_K_0.015625,hopf,9707576559905349565574813776038935648379369280803/10000000000000000000000000000000000000000000000000,369958104161924884129902716919095009/10000000000000000000000000000000000,7457613106317091708130517532915242362468225119005220781917952822269660521524934497/500000000000000000000000000000000000000000000000000000000000000000000000000000000000,-15625000000000000000000000000006163/100000000000000000000000000000000000000000,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-369958104161924884129902716919095009/10000000000000000000000000000000000"", ""-15625000000000000000000000000006163/100000000000000000000000000000000000000000"", ""-10"", ""11/5"", ""9707576559905349565574813776038935648379369280803/10000000000000000000000000000000000000000000000000""]",3,USU,"[0.0618678092503679, 7.150946467468296, 19.43828783880247]",-0.9611783538600118,3.958571520780645e+16,integration_failure_bracket,6.784222179572531,3.039285663142266e-05,False,True,[[23376568.23177193]]
positive_K_0.0625,fold,7634714119497180735747231548404931/7812500000000000000000000000000000,36578138638618247211702495857738587/1000000000000000000000000000000000,2441406250000000000000000000000153826678687073894345428638817497467/39062500000000000000000000000000000000000000000000000000000000000000,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-36578138638618247211702495857738587/1000000000000000000000000000000000"", ""0"", ""-10"", ""11/5"", ""7634714119497180735747231548404931/7812500000000000000000000000000000""]",0,,[],-0.9631838644182182,839861247437.5867,integration_failure_bracket,17.543524815614006,,False,False,[[49488195.3350085]]
positive_K_0.0625,pair,48860418261290747358615688996065935900750235071583/50000000000000000000000000000000000000000000000000,36578138638618247211702495857738587/1000000000000000000000000000000000,14920024471482710764490637780767117181116080461402418144161828170739267826909005431/250000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-36578138638618247211702495857738587/1000000000000000000000000000000000"", ""0"", ""-10"", ""11/5"", ""48860418261290747358615688996065935900750235071583/50000000000000000000000000000000000000000000000000""]",2,SU,"[7.150946467468296, 19.43828783880247]",-0.9631851553272778,880167030257.0555,integration_failure_bracket,17.498345230757145,0.00011738854138743093,False,True,[[49488195.3350085]]
