label,method,origin_count,origin_stability,origin_radii,baseline_nests,edge
control_kkl_large,double_full_return,1,S,[6706.7237255554655],"[{""pt"": [-3.3290748673264177, 4.758429893233299], ""tr"": -0.00850921830204765, ""roots"": [12109362140.792408], ""stab"": [""U""], ""k"": 188, ""redge"": 2.010328497117133e+17}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [12929.214516687434], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 39.999999999999815, ""r_valid"": 2.353852668369765e+17, ""D"": -0.7665198224184948, ""sign"": -1}"
control_kkl_incumbent,double_full_return,3,SUS,"[0.6832102182867121, 2.1836998247665744, 15.96278398802916]","[{""pt"": [-6.259641416415393, 7.449768446155288], ""tr"": -8.40954967817196, ""roots"": [6107.328490896728], ""stab"": [""U""], ""k"": 64, ""redge"": 7352.470042959394}, {""pt"": [0.0, -0.0], ""tr"": 0.0015, ""roots"": [0.9677753655846768, 3.377867931673536, 24.9592556419146], ""stab"": [""S"", ""U"", ""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 39.999999999999815, ""r_valid"": 2.353852668369765e+17, ""D"": -33.95883119572254, ""sign"": -1}"
pilot_pair,double_full_return,2,SU,"[5.531621389869788, 8.239660708602013]","[{""pt"": [-3.3246640227503974, 4.754833711881157], ""tr"": 0.005078424490615241, ""roots"": [18205689.644426107], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [9.181997017602711, 15.13855379042673], ""stab"": [""S"", ""U""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 39.999999999999815, ""r_valid"": 2.353852668369765e+17, ""D"": 0.806581752961911, ""sign"": 1}"
pilot_beta_-1e-8,double_full_return,2,SU,"[5.50181381448526, 8.27453821348165]","[{""pt"": [-3.324664021508514, 4.75483371086908], ""tr"": 0.0050784167332613706, ""roots"": [18205689.644426107], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}, {""pt"": [0.0, -0.0], ""tr"": -1e-08, ""roots"": [0.04818269829109883, 9.181997017602711, 15.13855379042673], ""stab"": [""U"", ""S"", ""U""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 39.999999999999815, ""r_valid"": 2.353852668369765e+17, ""D"": 0.8065809733733076, ""sign"": 1}"
pilot_beta_-1e-7,double_full_return,3,USU,"[0.09496789000228856, 5.2609022819086615, 8.560908812958473]","[{""pt"": [-3.324664010331554, 4.75483370176037], ""tr"": 0.005078346917086307, ""roots"": [18205689.644426107], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}, {""pt"": [0.0, -0.0], ""tr"": -1e-07, ""roots"": [0.1681741416518455, 9.181997017602711, 15.13855379042673], ""stab"": [""U"", ""S"", ""U""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 39.999999999999815, ""r_valid"": 2.353852668369765e+17, ""D"": 0.8065739571445292, ""sign"": 1}"
pilot_beta_1e-8,double_full_return,2,SU,"[5.5621954966816345, 8.2040126967155]","[{""pt"": [-3.3246640239922827, 4.7548337128932365], ""tr"": 0.00507843224796467, ""roots"": [18205689.644426107], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}, {""pt"": [0.0, -0.0], ""tr"": 1e-08, ""roots"": [9.181997017602711, 15.13855379042673], ""stab"": [""S"", ""U""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 39.999999999999815, ""r_valid"": 2.353852668369765e+17, ""D"": 0.8065825325356073, ""sign"": 1}"
positive_center_000_fold,double_full_return,0,,[],"[{""pt"": [-3.324679780099742, 4.754846553416407], ""tr"": 0.005023569573459952, ""roots"": [18205689.644426107], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [], ""stab"": [], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 39.999999999999815, ""r_valid"": 2.353852668369765e+17, ""D"": 0.7981724135406623, ""sign"": 1}"
positive_center_000_pair,double_full_return,2,SU,"[5.531621389869788, 8.239660708602013]","[{""pt"": [-3.3246640227503974, 4.754833711881157], ""tr"": 0.005078424490615241, ""roots"": [18205689.644426107], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [9.181997017602711, 15.13855379042673], ""stab"": [""S"", ""U""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 39.999999999999815, ""r_valid"": 2.353852668369765e+17, ""D"": 0.806581752961911, ""sign"": 1}"
positive_center_000_hopf_1,double_full_return,3,USU,"[0.17482111034956235, 4.847410376172013, 9.070935061588376]","[{""pt"": [-3.3246639863262164, 4.754833682197123], ""tr"": 0.005078196969258819, ""roots"": [18205689.644426107], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}, {""pt"": [0.0, -0.0], ""tr"": -2.932976810959543e-07, ""roots"": [0.277272284523134, 9.181997017602711, 15.13855379042673], ""stab"": [""U"", ""S"", ""U""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 39.999999999999815, ""r_valid"": 2.353852668369765e+17, ""D"": 0.8065588880708745, ""sign"": 1}"
positive_center_000_hopf_0.1,double_full_return,2,SU,"[5.446177163780202, 8.339963945824472]","[{""pt"": [-3.32466401910798, 4.754833708912755], ""tr"": 0.005078401738479954, ""roots"": [18205689.644426107], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}, {""pt"": [0.0, -0.0], ""tr"": -2.932976810959543e-08, ""roots"": [0.07943983955226135, 9.181997017602711, 15.13855379042673], ""stab"": [""U"", ""S"", ""U""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 39.999999999999815, ""r_valid"": 2.353852668369765e+17, ""D"": 0.8065794664441128, ""sign"": 1}"
positive_center_001_fold,double_full_return,0,,[],"[{""pt"": [-3.3253652840170247, 4.755405246715926], ""tr"": 0.002511927343186393, ""roots"": [18205689.644426107], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [], ""stab"": [], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 39.999999999999815, ""r_valid"": 2.353852668369765e+17, ""D"": 0.39222983109137033, ""sign"": 1}"
positive_center_001_pair,double_full_return,2,SU,"[5.531016300869401, 8.238758023672933]","[{""pt"": [-3.325357401361496, 4.755398821839269], ""tr"": 0.002539361954371877, ""roots"": [18205689.644426107], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [9.181997017602711, 15.13855379042673], ""stab"": [""S"", ""U""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 39.999999999999815, ""r_valid"": 2.353852668369765e+17, ""D"": 0.3962899634815855, ""sign"": 1}"
positive_center_001_hopf_1,double_full_return,3,USU,"[0.17481654221540718, 4.847066473019806, 9.069627969543259]","[{""pt"": [-3.325357383155518, 4.755398807000224], ""tr"": 0.002539248219105339, ""roots"": [18205689.644426107], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}, {""pt"": [0.0, -0.0], ""tr"": -1.4661050496341296e-07, ""roots"": [0.277272284523134, 9.181997017602711, 15.13855379042673], ""stab"": [""U"", ""S"", ""U""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 39.999999999999815, ""r_valid"": 2.353852668369765e+17, ""D"": 0.39627887490389213, ""sign"": 1}"
positive_center_001_hopf_0.1,binary128_matching,3,USU,"[0.049353569102362785, 5.445611550827547, 8.339006607642766]","[{""pt"": [-3.325357399540898, 4.7553988203553645], ""tr"": 0.0025393505808466443, ""roots"": [18205689.644426107], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}, {""pt"": [0.0, -0.0], ""tr"": -1.4661050496341297e-08, ""roots"": [0.07943983955226135, 9.181997017602711, 15.13855379042673], ""stab"": [""U"", ""S"", ""U""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": 0.0004930786885817838, ""sign"": 1, ""r_valid"": 2.3538526683701997e+17}"
positive_center_002_fold,double_full_return,0,,[],"[{""pt"": [-3.3258795790391598, 4.75582445194316], ""tr"": 0.0006280085405636626, ""roots"": [18205689.644426107], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [], ""stab"": [], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 39.999999999999815, ""r_valid"": 2.353852668369765e+17, ""D"": 0.09681730922881826, ""sign"": 1}"
positive_center_002_pair,double_full_return,2,SU,"[5.530556485419392, 8.238085118507314]","[{""pt"": [-3.3258776076291166, 4.755822844953685], ""tr"": 0.0006348685333001924, ""roots"": [18205689.644426107], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [9.181997017602711, 15.13855379042673], ""stab"": [""S"", ""U""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 39.999999999999815, ""r_valid"": 2.353852668369765e+17, ""D"": 0.09780667636243123, ""sign"": 1}"
positive_center_002_hopf_1,double_full_return,3,USU,"[0.17481315370395478, 4.846807625913467, 9.068652117493679]","[{""pt"": [-3.3258776030787742, 4.755822841244487], ""tr"": 0.0006348401042863827, ""roots"": [18205689.644426107], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}, {""pt"": [0.0, -0.0], ""tr"": -3.6645391118329706e-08, ""roots"": [0.277272284523134, 9.181997017602711, 15.13855379042673], ""stab"": [""U"", ""S"", ""U""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 39.999999999999815, ""r_valid"": 2.353852668369765e+17, ""D"": 0.09780396548703862, ""sign"": 1}"
positive_center_002_hopf_0.1,binary128_matching,3,USU,"[0.049353004298819315, 5.445187583065151, 8.338291213760455]","[{""pt"": [-3.3258776071740823, 4.755822844582766], ""tr"": 0.0006348656904000549, ""roots"": [18205689.644426107], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}, {""pt"": [0.0, -0.0], ""tr"": -3.664539111832971e-09, ""roots"": [0.07943983955226135, 9.181997017602711, 15.13855379042673], ""stab"": [""U"", ""S"", ""U""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": 0.00012344582601241647, ""sign"": 1, ""r_valid"": 2.3538526683701997e+17}"
positive_center_003_fold,double_full_return,0,,[],"[{""pt"": [-3.3260081751646347, 4.755929278055522], ""tr"": 0.00015700380336447495, ""roots"": [18205689.644426107], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [], ""stab"": [], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 39.999999999999815, ""r_valid"": 2.353852668369765e+17, ""D"": 0.024128273889147067, ""sign"": 1}"
positive_center_003_pair,double_full_return,2,SU,"[5.530417368043846, 8.237946095796612]","[{""pt"": [-3.3260076822654963, 4.755928876260013], ""tr"": 0.00015871888525875733, ""roots"": [18205689.644426107], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [9.181997017602711, 15.13855379042673], ""stab"": [""S"", ""U""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 39.999999999999815, ""r_valid"": 2.353852668369765e+17, ""D"": 0.024374056905884345, ""sign"": 1}"
positive_center_003_hopf_1,double_full_return,1,U,[9.068420765289284],"[{""pt"": [-3.3260076811279893, 4.755928875332754], ""tr"": 0.00015871177834814176, ""roots"": [18205689.644426107], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}, {""pt"": [0.0, -0.0], ""tr"": -9.160839230587635e-09, ""roots"": [0.277272284523134, 9.181997017602711, 15.13855379042673], ""stab"": [""U"", ""S"", ""U""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 39.999999999999815, ""r_valid"": 2.353852668369765e+17, ""D"": 0.024373382904727237, ""sign"": 1}"
positive_center_003_hopf_0.1,binary128_matching,3,USU,"[0.049352816032407855, 5.445082271350675, 8.338109273661152]","[{""pt"": [-3.3260076821517455, 4.755928876167287], ""tr"": 0.00015871817456769577, ""roots"": [18205689.644426107], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}, {""pt"": [0.0, -0.0], ""tr"": -9.160839230587636e-10, ""roots"": [9.181997017602711, 15.13855379042673], ""stab"": [""S"", ""U""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": 3.087246952764615e-05, ""sign"": 1, ""r_valid"": 2.3538526683701997e+17}"
positive_center_004_fold,double_full_return,0,,[],"[{""pt"": [-3.3260440190710074, 4.755958496957538], ""tr"": 2.572357931374114e-05, ""roots"": [18205689.644426107], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [], ""stab"": [], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 39.999999999999815, ""r_valid"": 2.353852668369765e+17, ""D"": 0.003949719456947776, ""sign"": 1}"
positive_center_004_pair,binary128_matching,2,SU,"[5.530092417138789, 8.237611099095945]","[{""pt"": [-3.3260439383122837, 4.755958431125164], ""tr"": 2.6004582151628597e-05, ""roots"": [18205689.644426107], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [9.181997017602711, 15.13855379042673], ""stab"": [""S"", ""U""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": 5.0586623399765115e-06, ""sign"": 1, ""r_valid"": 2.3538526683701997e+17}"
