label,c,K,beta,alpha,selected_method,count,stability,outside_sign,edge_sign,edge_kind,edge_radius,sign_comparison,uncertain_sign_changes,baseline_origin_count,rational_vector
positive_center_000_fold,968888479267089700339486248465845633/1000000000000000000000000000000000000,1/512,0,-210009765625000000000000000000000000000/5657773271937986703734348733124301963,double_full_return,0,,,1,scan_cap,2.353852668369765e+17,unresolved,3,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-210009765625000000000000000000000000000/5657773271937986703734348733124301963"", ""0"", ""-10"", ""11/5"", ""968888479267089700339486248465845633/1000000000000000000000000000000000000""]"
positive_center_000_pair,9688912553490597545035735021799674507699/10000000000000000000000000000000000000000,1/512,0,-2100097656250000000000000000000000000000000/56578038088396572995393085239796419584689,double_full_return,2,SU,1,1,scan_cap,2.353852668369765e+17,agree,1,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-2100097656250000000000000000000000000000000/56578038088396572995393085239796419584689"", ""0"", ""-10"", ""11/5"", ""9688912553490597545035735021799674507699/10000000000000000000000000000000000000000""]"
positive_center_000_hopf_1,9688912553490597545035735021799674507699/10000000000000000000000000000000000000000,1/512,-29329768109595429/100000000000000000000000,-2100097656250000000000000000000000000000000/56578038088396572995393085239796419584689,double_full_return,3,USU,1,1,scan_cap,2.353852668369765e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-2100097656250000000000000000000000000000000/56578038088396572995393085239796419584689"", ""-29329768109595429/100000000000000000000000"", ""-10"", ""11/5"", ""9688912553490597545035735021799674507699/10000000000000000000000000000000000000000""]"
positive_center_000_hopf_0.1,9688912553490597545035735021799674507699/10000000000000000000000000000000000000000,1/512,-2932976810959543/100000000000000000000000,-2100097656250000000000000000000000000000000/56578038088396572995393085239796419584689,double_full_return,2,SU,1,1,scan_cap,2.353852668369765e+17,agree,1,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-2100097656250000000000000000000000000000000/56578038088396572995393085239796419584689"", ""-2932976810959543/100000000000000000000000"", ""-10"", ""11/5"", ""9688912553490597545035735021799674507699/10000000000000000000000000000000000000000""]"
positive_center_001_fold,484377271519692710082767201722243661/500000000000000000000000000000000000,1/1024,0,-105002441406250000000000000000000000000/2828149986716619810910439218944680271,double_full_return,0,,,1,scan_cap,2.353852668369765e+17,unresolved,3,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-105002441406250000000000000000000000000/2828149986716619810910439218944680271"", ""0"", ""-10"", ""11/5"", ""484377271519692710082767201722243661/500000000000000000000000000000000000""]"
positive_center_001_pair,2421889827494474233454219323261079141849/2500000000000000000000000000000000000000,1/1024,0,-525012207031250000000000000000000000000000/14140788102439216567996412555871870560339,double_full_return,2,SU,1,1,scan_cap,2.353852668369765e+17,agree,1,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-525012207031250000000000000000000000000000/14140788102439216567996412555871870560339"", ""0"", ""-10"", ""11/5"", ""2421889827494474233454219323261079141849/2500000000000000000000000000000000000000""]"
positive_center_001_hopf_1,2421889827494474233454219323261079141849/2500000000000000000000000000000000000000,1/1024,-916315656021331/6250000000000000000000,-525012207031250000000000000000000000000000/14140788102439216567996412555871870560339,double_full_return,3,USU,1,1,scan_cap,2.353852668369765e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-525012207031250000000000000000000000000000/14140788102439216567996412555871870560339"", ""-916315656021331/6250000000000000000000"", ""-10"", ""11/5"", ""2421889827494474233454219323261079141849/2500000000000000000000000000000000000000""]"
positive_center_001_hopf_0.1,2421889827494474233454219323261079141849/2500000000000000000000000000000000000000,1/1024,-14661050496341297/1000000000000000000000000,-525012207031250000000000000000000000000000/14140788102439216567996412555871870560339,binary128_matching,3,USU,1,1,scan_cap,2.3538526683701997e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-525012207031250000000000000000000000000000/14140788102439216567996412555871870560339"", ""-14661050496341297/1000000000000000000000000"", ""-10"", ""11/5"", ""2421889827494474233454219323261079141849/2500000000000000000000000000000000000000""]"
positive_center_002_fold,968654108416194369962696398073161869/1000000000000000000000000000000000000,1/4096,0,-210001220703125000000000000000000000000/5655195192578138069589660378804780559,double_full_return,0,,,1,scan_cap,2.353852668369765e+17,unresolved,3,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-210001220703125000000000000000000000000/5655195192578138069589660378804780559"", ""0"", ""-10"", ""11/5"", ""968654108416194369962696398073161869/1000000000000000000000000000000000000""]"
positive_center_002_pair,4843272276951072976809543539510684585999/5000000000000000000000000000000000000000,1/4096,0,-1050006103515625000000000000000000000000000/28275995046461802744904978934617530445989,double_full_return,2,SU,1,1,scan_cap,2.353852668369765e+17,agree,1,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-1050006103515625000000000000000000000000000/28275995046461802744904978934617530445989"", ""0"", ""-10"", ""11/5"", ""4843272276951072976809543539510684585999/5000000000000000000000000000000000000000""]"
