=== row5  a=-4 a20=-1 side=1
  n=10   x0=1.0561397333484        a11=12.200843112797        Dxxx=0.1880592016           ds=0.150000   14s
  n=20   x0=1.1098476077768        a11=13.103385418939        Dxxx=15.07485011            ds=0.150000   35s
  n=30   x0=1.1323807982016        a11=14.005143219139        Dxxx=105.6017894            ds=0.150000   68s
  n=40   x0=1.1463927182224        a11=14.907113542432        Dxxx=431.8662415            ds=0.150000   109s
  n=50   x0=1.1564766511911        a11=15.810342645869        Dxxx=1357.514713            ds=0.150000   156s
  n=60   x0=1.1643495604433        a11=16.715475139854        Dxxx=3613.388369            ds=0.150000   208s
  n=70   x0=1.1708005527700        a11=17.622788613861        Dxxx=8535.091928            ds=0.150000   265s
  n=80   x0=1.1762445078053        a11=18.532297262073        Dxxx=18389.04036            ds=0.150000   329s
  n=90   x0=1.1809264860052        a11=19.443857945507        Dxxx=36804.24583            ds=0.150000   402s
  n=100  x0=1.1850067848944        a11=20.357252127551        Dxxx=69330.26087            ds=0.150000   494s
  n=110  x0=1.1885989611111        a11=21.272239214596        Dxxx=124144.3142            ds=0.150000   587s
  n=120  x0=1.1917880234465        a11=22.188586738300        Dxxx=212932.8032            ds=0.150000   696s
  -> npts=120 end=1.191788023446548067945289418700107 reason=MAXPTS Dxxx_sign_changes=0  (700s)
=== c_am2p9_o0p08  a=-2.9 a20=-5.80920495014245014245014245014245 side=1
  n=10   x0=1.0531612976688        a11=10.067822195183        Dxxx=1.017848302            ds=0.150000   30s
  n=20   x0=1.1349401745241        a11=11.053065015012        Dxxx=19.11745149            ds=0.150000   68s
  n=30   x0=1.1735523292005        a11=12.023221878890        Dxxx=89.23813754            ds=0.150000   108s
  n=40   x0=1.1976525258818        a11=12.982050802985        Dxxx=281.6767310            ds=0.150000   150s
  n=50   x0=1.2147000352976        a11=13.933437752488        Dxxx=721.3692541            ds=0.150000   208s
  n=60   x0=1.2276672689960        a11=14.880294202262        Dxxx=1609.990483            ds=0.150000   273s
  n=70   x0=1.2379943153629        a11=15.824580780757        Dxxx=3250.950286            ds=0.150000   344s
  n=80   x0=1.2464766471911        a11=16.767528975714        Dxxx=6077.359289            ds=0.150000   427s
  n=90   x0=1.2535995055647        a11=17.709872115057        Dxxx=10683.09720            ds=0.150000   528s
  n=100  x0=1.2596820951888        a11=18.652026610606        Dxxx=17857.02793            ds=0.150000   626s
  n=110  x0=1.2649464986550        a11=19.594216810325        Dxxx=28620.33718            ds=0.150000   734s
  n=120  x0=1.2695537103280        a11=20.536554853613        Dxxx=44266.94925            ds=0.150000   851s
  -> npts=120 end=1.269553710327983706076817318683667 reason=MAXPTS Dxxx_sign_changes=0  (865s)
=== c_am2p5_o0p3  a=-2.5 a20=-5.124107142857142857142857142857143 side=1
  n=10   x0=1.0642206614703        a11=9.2306688626513        Dxxx=0.3203683886           ds=0.150000   32s
  n=20   x0=1.1598614687653        a11=10.228586907953        Dxxx=9.854280878            ds=0.150000   75s
  n=30   x0=1.2047913716455        a11=11.212291876639        Dxxx=47.45690355            ds=0.150000   121s
  n=40   x0=1.2328640356489        a11=12.184835910765        Dxxx=147.9876956            ds=0.150000   175s
  n=50   x0=1.2526888783611        a11=13.149887770341        Dxxx=369.8722313            ds=0.150000   237s
  n=60   x0=1.2677213321963        a11=14.110261964794        Dxxx=802.1785953            ds=0.150000   304s
  n=70   x0=1.2796495321635        a11=15.067889130926        Dxxx=1571.785858            ds=0.150000   381s
  n=80   x0=1.2894117601353        a11=16.024006877729        Dxxx=2850.630809            ds=0.150000   464s
  n=90   x0=1.2975820408927        a11=16.979369909320        Dxxx=4863.080832            ds=0.150000   528s
  n=100  x0=1.3045380075200        a11=17.934419353850        Dxxx=7893.442651            ds=0.150000   598s
  n=110  x0=1.3105419403249        a11=18.889402150323        Dxxx=12293.58974            ds=0.150000   671s
  n=120  x0=1.3157834865885        a11=19.844449134780        Dxxx=18490.68714            ds=0.150000   745s
  -> npts=120 end=1.315783486588482119790385560440534 reason=MAXPTS Dxxx_sign_changes=0  (757s)
=== c_am2p0_o0p3  a=-2.0 a20=-4.440740740740740740740740740740741 side=1
  n=10   x0=1.0823361060964        a11=8.2174398721919        Dxxx=0.09321651760          ds=0.150000   23s
  n=20   x0=1.2034357923843        a11=9.2364893259195        Dxxx=3.931810408            ds=0.150000   52s
  n=30   x0=1.2600165300142        a11=10.244164353695        Dxxx=18.88123293            ds=0.150000   84s
  n=40   x0=1.2953996995187        a11=11.241662499943        Dxxx=56.68019670            ds=0.150000   116s
  n=50   x0=1.3203230048184        a11=12.231985014331        Dxxx=135.1342950            ds=0.150000   156s
  n=60   x0=1.3391345124174        a11=13.217592180759        Dxxx=278.9843060            ds=0.150000   199s
  n=70   x0=1.3539834719504        a11=14.200240933719        Dxxx=520.5808979            ds=0.150000   247s
  n=80   x0=1.3660749387121        a11=15.181103765261        Dxxx=900.4140063            ds=0.150000   302s
  n=90   x0=1.3761489008231        a11=16.160929477528        Dxxx=1467.547012            ds=0.150000   361s
  n=100  x0=1.3846918147709        a11=17.140181004522        Dxxx=2279.983821            ds=0.150000   424s
  n=110  x0=1.3920403393562        a11=18.119136906298        Dxxx=3404.983821            ds=0.150000   491s
  n=120  x0=1.3984367289176        a11=19.097960466783        Dxxx=4919.334762            ds=0.150000   560s
  -> npts=120 end=1.398436728917565113000187614878453 reason=MAXPTS Dxxx_sign_changes=0  (566s)
=== c_am1p5_o0p08  a=-1.5 a20=-3.595 side=1
  n=10   x0=1.1114150172631        a11=7.2063645916120        Dxxx=0.009929069366         ds=0.150000   26s
  n=20   x0=1.2719930933420        a11=8.2483701335393        Dxxx=0.8641755256           ds=0.150000   54s
  n=30   x0=1.3474338689110        a11=9.2870612004471        Dxxx=4.380607783            ds=0.150000   85s
  n=40   x0=1.3949527614013        a11=10.319537527668        Dxxx=12.85478607            ds=0.150000   120s
  n=50   x0=1.4284491432286        a11=11.347047964398        Dxxx=29.32790026            ds=0.150000   157s
  n=60   x0=1.4536627159434        a11=12.370987507363        Dxxx=57.55692410            ds=0.150000   196s
  n=70   x0=1.4734856025444        a11=13.392474567492        Dxxx=101.9577261            ds=0.150000   242s
  n=80   x0=1.4895612397365        a11=14.412320116231        Dxxx=167.5440924            ds=0.150000   290s
  n=90   x0=1.5029053740127        a11=15.431083324800        Dxxx=259.8704099            ds=0.150000   343s
  n=100  x0=1.5141862581975        a11=16.449138276384        Dxxx=384.9803326            ds=0.150000   400s
  n=110  x0=1.5238650423242        a11=17.466730428477        Dxxx=549.3615953            ds=0.150000   459s
  n=120  x0=1.5322720341200        a11=18.484018842460        Dxxx=759.9065703            ds=0.150000   521s
  -> npts=120 end=1.532272034120014399139290569250839 reason=MAXPTS Dxxx_sign_changes=0  (526s)
=== c_am1p0_om0p3  a=-1.0 a20=-0.3 side=1
  n=10   x0=1.1646350717365        a11=6.1828192537317        Dxxx=-0.0002322598990       ds=0.150000   23s
  n=20   x0=1.3955741913219        a11=7.2294737612195        Dxxx=-0.009597458009        ds=0.150000   47s
  n=30   x0=1.5040323722701        a11=8.2872901005646        Dxxx=-0.03100320558         ds=0.150000   74s
  n=40   x0=1.5740061294394        a11=9.3467932508939        Dxxx=-0.06261514688         ds=0.150000   103s
  n=50   x0=1.6240973553901        a11=10.406873885672        Dxxx=-0.1030146674          ds=0.150000   135s
  n=60   x0=1.6621299291870        a11=11.467206978055        Dxxx=-0.1509718309          ds=0.150000   170s
