=== row6  a=5 a20=-50 side=1
  n=10   x0=1.0722721642454        a11=-5.9274684720330       Dxxx=-0.007123709832        ds=0.150000   15s
  n=20   x0=1.2229294828182        a11=-5.5962566773240       Dxxx=-0.09457119674         ds=0.150000   36s
  n=30   x0=1.3619702179310        a11=-5.2614474996774       Dxxx=-0.1860973392          ds=0.150000   61s
  n=40   x0=1.5147667815773        a11=-4.9177706392978       Dxxx=-0.2516020355          ds=0.150000   91s
  n=50   x0=1.6939068362132        a11=-4.5575881322949       Dxxx=-0.2835016097          ds=0.150000   125s
  n=60   x0=1.9151324361176        a11=-4.1706650981674       Dxxx=-0.2808436480          ds=0.150000   163s
  n=70   x0=2.2034114318661        a11=-3.7444868706770       Dxxx=-0.2467185000          ds=0.150000   204s
  n=80   x0=2.6007611199014        a11=-3.2681146089507       Dxxx=-0.1892821496          ds=0.150000   264s
  n=90   x0=3.1738646690860        a11=-2.7452140950531       Dxxx=-0.1237138119          ds=0.150000   335s
  n=100  x0=3.4954375946222        a11=-2.5140630496829       Dxxx=-0.09784109831         ds=0.0949219  896s
  n=110  x0=3.6936281265898        a11=-2.3888791895817       Dxxx=-0.08504522765         ds=0.0675762  1027s
  n=120  x0=3.8832666820888        a11=-2.2796370698879       Dxxx=-0.07464707225         ds=0.0481085  1143s
  -> npts=120 end=3.883266682088765627286065951096549 reason=MAXPTS Dxxx_sign_changes=0  (1148s)
=== c_am2p9_o0p3  a=-2.9 a20=-5.58920495014245014245014245014245 side=1
  n=10   x0=1.0549874580276        a11=10.043334409521        Dxxx=0.6609132339           ds=0.150000   33s
  n=20   x0=1.1355987310309        a11=11.026981471149        Dxxx=17.08895635            ds=0.150000   76s
  n=30   x0=1.1738451328175        a11=11.995868314927        Dxxx=83.12748363            ds=0.150000   126s
  n=40   x0=1.1978022107714        a11=12.953699117080        Dxxx=266.9434213            ds=0.150000   178s
  n=50   x0=1.2147807744864        a11=13.904288140154        Dxxx=690.5414126            ds=0.150000   244s
  n=60   x0=1.2277117217419        a11=14.850496211384        Dxxx=1551.808851            ds=0.150000   318s
  n=70   x0=1.2380191287918        a11=15.794250739404        Dxxx=3149.482768            ds=0.150000   399s
  n=80   x0=1.2464908385448        a11=16.736760252605        Dxxx=5911.060498            ds=0.150000   492s
  n=90   x0=1.2536080326143        a11=17.678740785279        Dxxx=10423.79423            ds=0.150000   591s
  n=100  x0=1.2596876638389        a11=18.620594893664        Dxxx=17468.82626            ds=0.150000   692s
  n=110  x0=1.2649505579939        a11=19.562535533591        Dxxx=28058.44714            ds=0.150000   799s
  n=120  x0=1.2695570153706        a11=20.504665446926        Dxxx=43476.43477            ds=0.150000   904s
  -> npts=120 end=1.269557015370616756338032513822190 reason=MAXPTS Dxxx_sign_changes=0  (915s)
=== c_am2p5_o1p0  a=-2.5 a20=-4.424107142857142857142857142857143 side=1
  n=10   x0=1.0716677943688        a11=9.2146116313383        Dxxx=0.1794045864           ds=0.150000   19s
  n=20   x0=1.1639043060975        a11=10.206057087541        Dxxx=8.143295639            ds=0.150000   49s
  n=30   x0=1.2070122149178        a11=11.184675012745        Dxxx=41.86766626            ds=0.150000   82s
  n=40   x0=1.2342486360573        a11=12.153306098518        Dxxx=134.4268105            ds=0.150000   121s
  n=50   x0=1.2536291181150        a11=13.115326846748        Dxxx=341.9585845            ds=0.150000   163s
  n=60   x0=1.2684021128201        a11=14.073315950476        Dxxx=750.8570246            ds=0.150000   207s
  n=70   x0=1.2801688667784        a11=15.029037529347        Dxxx=1485.031893            ds=0.150000   259s
  n=80   x0=1.2898255161670        a11=15.983613900779        Dxxx=2713.199624            ds=0.150000   314s
  n=90   x0=1.2979235990533        a11=16.937718032150        Dxxx=4656.267048            ds=0.150000   373s
  n=100  x0=1.3048280330660        a11=17.891731007764        Dxxx=7594.837487            ds=0.150000   440s
  n=110  x0=1.3107936464828        a11=18.845854280980        Dxxx=11876.83316            ds=0.150000   513s
  n=120  x0=1.3160056079433        a11=19.800183501273        Dxxx=17925.21599            ds=0.150000   589s
  -> npts=120 end=1.316005607943280079648522192685627 reason=MAXPTS Dxxx_sign_changes=0  (595s)
=== c_am2p0_o1p0  a=-2.0 a20=-3.740740740740740740740740740740741 side=1
  n=10   x0=1.0899804681785        a11=8.2088527361737        Dxxx=0.06933574257          ds=0.150000   21s
  n=20   x0=1.2075140574738        a11=9.2218507183442        Dxxx=3.459117580            ds=0.150000   49s
  n=30   x0=1.2621693223741        a11=10.224580283394        Dxxx=17.22064614            ds=0.150000   82s
  n=40   x0=1.2966887892209        a11=11.218205084513        Dxxx=52.65760416            ds=0.150000   118s
  n=50   x0=1.3211679986759        a11=12.205497264446        Dxxx=127.0615324            ds=0.150000   160s
  n=60   x0=1.3397290229856        a11=13.188703316922        Dxxx=264.6378360            ds=0.150000   204s
  n=70   x0=1.3544272977923        a11=14.169421114775        Dxxx=497.2078473            ds=0.150000   252s
  n=80   x0=1.3664233851440        a11=15.148710576201        Dxxx=864.7468146            ds=0.150000   302s
  n=90   x0=1.3764341345216        a11=16.127240338348        Dxxx=1415.817163            ds=0.150000   361s
  n=100  x0=1.3849332281916        a11=17.105414720454        Dxxx=2207.931928            ds=0.150000   423s
  n=110  x0=1.3922499970558        a11=18.083468176588        Dxxx=3307.866312            ds=0.150000   489s
  n=120  x0=1.3986223792173        a11=19.061530027160        Dxxx=4791.928053            ds=0.150000   558s
  -> npts=120 end=1.398622379217345711545244742662148 reason=MAXPTS Dxxx_sign_changes=0  (563s)
=== c_am1p5_o0p3  a=-1.5 a20=-3.375 side=1
  n=10   x0=1.1138514121821        a11=7.2046024597340        Dxxx=0.01271090044          ds=0.150000   24s
  n=20   x0=1.2732608032241        a11=8.2454475454738        Dxxx=0.8726505677           ds=0.150000   51s
  n=30   x0=1.3480612130204        a11=9.2830360548517        Dxxx=4.353577205            ds=0.150000   83s
  n=40   x0=1.3953043625168        a11=10.314588676557        Dxxx=12.73913544            ds=0.150000   115s
  n=50   x0=1.4286657500802        a11=11.341350096839        Dxxx=29.05558041            ds=0.150000   151s
  n=60   x0=1.4538068536911        a11=12.364683229057        Dxxx=57.04586993            ds=0.150000   189s
  n=70   x0=1.4735881542770        a11=13.385675459637        Dxxx=101.1139674            ds=0.150000   233s
  n=80   x0=1.4896386300787        a11=14.405113149260        Dxxx=166.2637773            ds=0.150000   282s
  n=90   x0=1.5029668079474        a11=15.423536882927        Dxxx=258.0414086            ds=0.150000   337s
  n=100  x0=1.5142371020037        a11=16.441306755626        Dxxx=382.4834358            ds=0.150000   394s
  n=110  x0=1.5239085291535        a11=17.458657566274        Dxxx=546.0714058            ds=0.150000   453s
  n=120  x0=1.5323101734308        a11=18.475740126443        Dxxx=755.6921759            ds=0.150000   514s
  -> npts=120 end=1.532310173430820548250795994956710 reason=MAXPTS Dxxx_sign_changes=0  (518s)
=== c_am1p0_om0p08  a=-1.0 a20=-0.08 side=1
  n=10   x0=1.1651233497967        a11=6.1825667908387        Dxxx=-5.662102315e-5        ds=0.150000   25s
  n=20   x0=1.3961631717304        a11=7.2292465423057        Dxxx=-0.002408795388        ds=0.150000   48s
  n=30   x0=1.5044399607772        a11=8.2870839799494        Dxxx=-0.007900766607        ds=0.150000   74s
  n=40   x0=1.5742856946995        a11=9.3465866580629        Dxxx=-0.01611276579         ds=0.150000   104s
  n=50   x0=1.6242959582153        a11=10.406658974766        Dxxx=-0.02668693293         ds=0.150000   135s
  n=60   x0=1.6622768560370        a11=11.466982554072        Dxxx=-0.03930072519         ds=0.150000   170s
  n=70   x0=1.6922876803331        a11=12.527433594444        Dxxx=-0.05365984351         ds=0.150000   209s
  n=80   x0=1.7167008493105        a11=13.587955608844        Dxxx=-0.06949823893         ds=0.150000   249s
  n=90   x0=1.7370124055431        a11=14.648519965533        Dxxx=-0.08657883764         ds=0.150000   292s
  n=100  x0=1.7542186905938        a11=15.709110997945        Dxxx=-0.1046931399          ds=0.150000   337s
  n=110  x0=1.7690115593045        a11=16.769719608007        Dxxx=-0.1236596475          ds=0.150000   383s
  n=120  x0=1.7818877357901        a11=17.830340249129        Dxxx=-0.1433215681          ds=0.150000   431s
  -> npts=120 end=1.781887735790113072007645682375106 reason=MAXPTS Dxxx_sign_changes=0  (434s)
=== c_am0p8_om1p0  a=-0.8 a20=6.74320987654320987654320987654321 side=1
  n=10   x0=1.1908904502934        a11=5.7688201443202        Dxxx=-6.838453316e-5        ds=0.150000   26s
  n=20   x0=1.4737920636268        a11=6.8080749299469        Dxxx=-0.01247477600         ds=0.150000   47s
  n=30   x0=1.6059119194895        a11=7.8612884113961        Dxxx=-0.08494449620         ds=0.150000   70s
  n=40   x0=1.6912953589750        a11=8.9123402654932        Dxxx=-0.2850040589          ds=0.150000   98s
  n=50   x0=1.7526884382106        a11=9.9597842689906        Dxxx=-0.6871925747          ds=0.150000   127s
  n=60   x0=1.7995398226522        a11=11.003746064863        Dxxx=-1.365841078           ds=0.150000   158s
  n=70   x0=1.8367356268156        a11=12.044645579396        Dxxx=-2.391415690           ds=0.150000   191s
  n=80   x0=1.8671296836919        a11=13.082917282181        Dxxx=-3.829051288           ds=0.150000   224s
  n=90   x0=1.8925259583537        a11=14.118945533233        Dxxx=-5.738248740           ds=0.150000   261s
  n=100  x0=1.9141301141989        a11=15.153055815396        Dxxx=-8.173120937           ds=0.150000   301s
  n=110  x0=1.9327821332599        a11=16.185520301488        Dxxx=-11.18285653           ds=0.150000   342s
  n=120  x0=1.9490865284461        a11=17.216566086178        Dxxx=-14.81223748           ds=0.150000   386s
  -> npts=120 end=1.949086528446061085281034255569391 reason=MAXPTS Dxxx_sign_changes=0  (390s)
=== c_am0p8_o0p3  a=-0.8 a20=8.04320987654320987654320987654321 side=1
  *** D_xxx SIGN CHANGE between x0=1.14951990835 and 1.19108387409 : 2.15054e-7 -> -6.64393e-6
  n=10   x0=1.1910838740947        a11=5.7681806415225        Dxxx=-6.643934644e-6        ds=0.150000   29s
  n=20   x0=1.4745151426738        a11=6.8068967834412        Dxxx=-0.007716723671        ds=0.150000   51s
  n=30   x0=1.6068024842114        a11=7.8618486279863        Dxxx=-0.06301595670         ds=0.150000   73s
  n=40   x0=1.6921842916188        a11=8.9151698309436        Dxxx=-0.2285508106          ds=0.150000   100s
  n=50   x0=1.7535132828669        a11=9.9648349298204        Dxxx=-0.5767079747          ds=0.150000   128s
  n=60   x0=1.8002839419912        a11=11.010799142278        Dxxx=-1.181749861           ds=0.150000   158s
  n=70   x0=1.8373994653514        a11=12.053450044107        Dxxx=-2.115330317           ds=0.150000   192s
  n=80   x0=1.8677190599238        a11=13.093234733227        Dxxx=-3.444377455           ds=0.150000   227s
  n=90   x0=1.8930477612661        a11=14.130562858132        Dxxx=-5.230371670           ds=0.150000   264s
  n=100  x0=1.9145909407702        a11=15.165786777638        Dxxx=-7.529356137           ds=0.150000   302s
  n=110  x0=1.9331879881350        a11=16.199203590966        Dxxx=-10.39228647           ds=0.150000   342s
  n=120  x0=1.9494428478911        a11=17.231062478981        Dxxx=-13.86550606           ds=0.150000   385s
  -> npts=120 end=1.949442847891077895907449900549275 reason=MAXPTS Dxxx_sign_changes=1  (388s)
=== c_am0p2_om0p08  a=-0.2 a20=7.09037037037037037037037037037037 side=1
  n=10   x0=1.1867741857663        a11=4.4513621060473        Dxxx=-1.055035764e-6        ds=0.150000   28s
  n=20   x0=1.5249090277919        a11=4.7595611974170        Dxxx=-0.0001888833331       ds=0.150000   47s
  n=30   x0=1.7337658576166        a11=5.0735220889635        Dxxx=-0.001010844807        ds=0.150000   65s
  n=40   x0=1.8970283438780        a11=5.3874915004058        Dxxx=-0.002762054124        ds=0.150000   83s
  n=50   x0=2.0329990827737        a11=5.6997222834594        Dxxx=-0.005613564458        ds=0.150000   103s
  n=60   x0=2.1498225413930        a11=6.0091912472130        Dxxx=-0.009650223067        ds=0.150000   123s
  n=70   x0=2.2521350718920        a11=6.3152462951391        Dxxx=-0.01489458556         ds=0.150000   144s
  n=80   x0=2.3429451275446        a11=6.6174751367154        Dxxx=-0.02132525034         ds=0.150000   166s
  n=90   x0=2.4243667257840        a11=6.9156313476529        Dxxx=-0.02889124214         ds=0.150000   187s
  n=100  x0=2.4979653343952        a11=7.2095856397639        Dxxx=-0.03752305923         ds=0.150000   210s
  n=110  x0=2.5649433886635        a11=7.4992917693384        Dxxx=-0.04714089607         ds=0.150000   234s
  n=120  x0=2.6262495291646        a11=7.7847621090581        Dxxx=-0.05766055958         ds=0.150000   257s
  -> npts=120 end=2.626249529164602504583858336586283 reason=MAXPTS Dxxx_sign_changes=0  (261s)
=== c_a0p0_om1p0  a=0.0 a20=-1.0 side=1
  n=10   x0=1.2091590068499        a11=4.0363908509289        Dxxx=-7.240152260e-5        ds=0.150000   23s
  n=20   x0=1.6311716515217        a11=4.2573801073515        Dxxx=-0.001669314797        ds=0.150000   43s
  n=30   x0=1.9027839329130        a11=4.4684454641681        Dxxx=-0.003418498280        ds=0.150000   64s
  n=40   x0=2.1193009319052        a11=4.6677982039538        Dxxx=-0.004781869149        ds=0.150000   86s
  n=50   x0=2.3025620858402        a11=4.8569022250231        Dxxx=-0.005775923392        ds=0.150000   107s
  n=60   x0=2.4625410545366        a11=5.0371344713596        Dxxx=-0.006484159524        ds=0.150000   128s
  n=70   x0=2.6049628668460        a11=5.2096318883440        Dxxx=-0.006981420231        ds=0.150000   151s
  n=80   x0=2.7335296364197        a11=5.3753208099793        Dxxx=-0.007324416598        ds=0.150000   174s
  n=90   x0=2.8508177106388        a11=5.5349608399105        Dxxx=-0.007554357137        ds=0.150000   197s
  n=100  x0=2.9587119191107        a11=5.6891816262561        Dxxx=-0.007700947967        ds=0.150000   221s
  n=110  x0=3.0586423754315        a11=5.8385110430071        Dxxx=-0.007785685917        ds=0.150000   245s
  n=120  x0=3.1517248967785        a11=5.9833964204520        Dxxx=-0.007824255290        ds=0.150000   270s
  -> npts=120 end=3.151724896778533830995790117603430 reason=MAXPTS Dxxx_sign_changes=0  (273s)
=== c_a0p0_o0p3  a=0.0 a20=0.3 side=1
  n=10   x0=1.1967757639406        a11=4.0316677889417        Dxxx=7.912374148e-6         ds=0.150000   25s
  n=20   x0=1.5804134857512        a11=4.2204258164770        Dxxx=0.0002074060396        ds=0.150000   44s
  n=30   x0=1.8302379630625        a11=4.4048321175033        Dxxx=0.0004784082482        ds=0.150000   63s
  n=40   x0=2.0325581611586        a11=4.5825781881017        Dxxx=0.0007339639803        ds=0.150000   84s
  n=50   x0=2.2062817336552        a11=4.7539665147334        Dxxx=0.0009541424326        ds=0.150000   100s
  n=60   x0=2.3598164284598        a11=4.9194923863017        Dxxx=0.001137166126         ds=0.150000   116s
  n=70   x0=2.4979324311537        a11=5.0796453610580        Dxxx=0.001286647927         ds=0.150000   134s
  n=80   x0=2.6237108351138        a11=5.2348719977641        Dxxx=0.001407461369         ds=0.150000   150s
  n=90   x0=2.7393073758586        a11=5.3855706372737        Dxxx=0.001504339111         ds=0.150000   168s
  n=100  x0=2.8463135936941        a11=5.5320944261489        Dxxx=0.001581437992         ds=0.150000   187s
  n=110  x0=2.9459504438307        a11=5.6747563579565        Dxxx=0.001642260033         ds=0.150000   205s
  n=120  x0=3.0391818566592        a11=5.8138344372101        Dxxx=0.001689700098         ds=0.150000   224s
  -> npts=120 end=3.039181856659243282649876234643657 reason=MAXPTS Dxxx_sign_changes=0  (228s)
=== c_a0p2_o0p08  a=0.2 a20=-1.903673469387755102040816326530612 side=1
  n=10   x0=1.2032124237245        a11=3.6118499214255        Dxxx=6.159300260e-6         ds=0.150000   21s
  n=20   x0=1.6300576199559        a11=3.6817330551660        Dxxx=0.0002300165703        ds=0.150000   37s
  n=30   x0=1.9266919014456        a11=3.7478630951286        Dxxx=0.0006399223492        ds=0.150000   53s
  n=40   x0=2.1778856202442        a11=3.8098823418370        Dxxx=0.001104762649         ds=0.150000   70s
  n=50   x0=2.4018981554754        a11=3.8683248984076        Dxxx=0.001560847929         ds=0.150000   87s
  n=60   x0=2.6067408615353        a11=3.9236752454704        Dxxx=0.001981684454         ds=0.150000   105s
  n=70   x0=2.7969047461296        a11=3.9763311417399        Dxxx=0.002358560439         ds=0.150000   122s
  n=80   x0=2.9752603067497        a11=4.0266165919170        Dxxx=0.002690857150         ds=0.150000   140s
  n=90   x0=3.1437986641285        a11=4.0747975997698        Dxxx=0.002981414232         ds=0.150000   158s
  n=100  x0=3.3039801218456        a11=4.1210949868136        Dxxx=0.003234337013         ds=0.150000   177s
  n=110  x0=3.4569197782122        a11=4.1656941404004        Dxxx=0.003453976168         ds=0.150000   195s
  n=120  x0=3.6034955530111        a11=4.2087523476984        Dxxx=0.003644473426         ds=0.150000   214s
  -> npts=120 end=3.603495553011141752353300620354149 reason=MAXPTS Dxxx_sign_changes=0  (217s)
