=== row7  a=0.72727272727272727272727272727273 a20=-12 side=1
  n=10   x0=1.1469699063014        a11=2.5333116447209        Dxxx=-1.148888042e-5        ds=0.150000   21s
  n=20   x0=1.4347154281649        a11=2.4701421775115        Dxxx=-0.0002314787192       ds=0.150000   35s
  n=30   x0=1.6496273738179        a11=2.4099830923338        Dxxx=-0.0005063260307       ds=0.150000   50s
  n=40   x0=1.8449806972719        a11=2.3529939742440        Dxxx=-0.0007500584110       ds=0.150000   69s
  n=50   x0=2.0313772157088        a11=2.2989669299383        Dxxx=-0.0009453854938       ds=0.150000   89s
  n=60   x0=2.2130581327478        a11=2.2476800898445        Dxxx=-0.001093167868        ds=0.150000   109s
  n=70   x0=2.3921797162893        a11=2.1989257627060        Dxxx=-0.001199532474        ds=0.150000   130s
  n=80   x0=2.5699906898023        a11=2.1525146438987        Dxxx=-0.001271624892        ds=0.150000   153s
  n=90   x0=2.7472762384820        a11=2.1082753750758        Dxxx=-0.001316135790        ds=0.150000   174s
  n=100  x0=2.9245586703766        a11=2.0660530035014        Dxxx=-0.001338845828        ds=0.150000   196s
  n=110  x0=3.1021997143793        a11=2.0257072580187        Dxxx=-0.001344561923        ds=0.150000   218s
  n=120  x0=3.2804574028474        a11=1.9871109123626        Dxxx=-0.001337198854        ds=0.150000   242s
  -> npts=120 end=3.280457402847408818873198470281068 reason=MAXPTS Dxxx_sign_changes=0  (244s)
=== c_am2p9_o1p0  a=-2.9 a20=-4.88920495014245014245014245014245 side=1
  n=10   x0=1.0615838940328        a11=10.019848507603        Dxxx=0.3164604624           ds=0.150000   21s
  n=20   x0=1.1393997644891        a11=10.997149363842        Dxxx=13.61177459            ds=0.150000   51s
  n=30   x0=1.1760082300098        a11=11.961131289983        Dxxx=71.83506097            ds=0.150000   85s
  n=40   x0=1.1991880711421        a11=12.915211929220        Dxxx=238.9755081            ds=0.150000   126s
  n=50   x0=1.2157414604839        a11=13.862904691469        Dxxx=631.2983942            ds=0.150000   179s
  n=60   x0=1.2284177690884        a11=14.806839579792        Dxxx=1439.441035            ds=0.150000   239s
  n=70   x0=1.2385631830486        a11=15.748783842953        Dxxx=2953.462328            ds=0.150000   299s
  n=80   x0=1.2469268586834        a11=16.689835536494        Dxxx=5590.766117            ds=0.150000   368s
  n=90   x0=1.2539688738477        a11=17.630632005042        Dxxx=9927.044679            ds=0.150000   449s
  n=100  x0=1.2599940224828        a11=18.571517544612        Dxxx=16730.33411            ds=0.150000   533s
  n=110  x0=1.2652158919034        a11=19.512660678998        Dxxx=26998.18697            ds=0.150000   612s
  n=120  x0=1.2697903705497        a11=20.454129648620        Dxxx=41997.92780            ds=0.150000   711s
  -> npts=120 end=1.269790370549742716745116943995505 reason=MAXPTS Dxxx_sign_changes=0  (717s)
=== c_am2p0_om0p08  a=-2.0 a20=-4.820740740740740740740740740740741 side=1
  *** D_xxx SIGN CHANGE between x0=1.03289199162 and 1.03935530078 : -0.000373917 -> 0.00364471
  n=10   x0=1.0762556568349        a11=8.2323579979242        Dxxx=0.09587522453          ds=0.150000   35s
  n=20   x0=1.2012909007809        a11=9.2542052215567        Dxxx=4.298008386            ds=0.150000   74s
  n=30   x0=1.2590536711412        a11=10.264338796926        Dxxx=20.13007029            ds=0.150000   114s
  n=40   x0=1.2948860029811        a11=11.263798815759        Dxxx=59.62093022            ds=0.150000   161s
  n=50   x0=1.3200182953818        a11=12.255678272003        Dxxx=140.9180753            ds=0.150000   221s
  n=60   x0=1.3389384243160        a11=13.242534224894        Dxxx=289.1181281            ds=0.150000   290s
  n=70   x0=1.3538477079572        a11=14.226197136246        Dxxx=536.9282089            ds=0.150000   362s
  n=80   x0=1.3659742648413        a11=15.207892380670        Dxxx=925.1915259            ds=0.150000   439s
  n=90   x0=1.3760694838961        a11=16.188407240461        Dxxx=1503.322020            ds=0.150000   521s
  n=100  x0=1.3846258414759        a11=17.168233494881        Dxxx=2329.672837            ds=0.150000   610s
  n=110  x0=1.3919832974762        a11=18.147671929572        Dxxx=3471.852421            ds=0.150000   703s
  n=120  x0=1.3983859558710        a11=19.126903281287        Dxxx=5006.998147            ds=0.150000   801s
  -> npts=120 end=1.398385955870976545841698753559325 reason=MAXPTS Dxxx_sign_changes=1  (812s)
=== c_am1p5_om0p3  a=-1.5 a20=-3.975 side=1
  n=10   x0=1.1058129330901        a11=7.2109563036885        Dxxx=-0.004889675526        ds=0.150000   36s
  *** D_xxx SIGN CHANGE between x0=1.10581293309 and 1.13238513927 : -0.00488968 -> 0.00434747
  n=20   x0=1.2696004405389        a11=8.2547042517543        Dxxx=0.8269404731           ds=0.150000   81s
  n=30   x0=1.3463215316863        a11=9.2952119020768        Dxxx=4.412114713            ds=0.150000   123s
  n=40   x0=1.3943504724735        a11=10.329237417558        Dxxx=13.05310148            ds=0.150000   172s
  n=50   x0=1.4280869992143        a11=11.358014603676        Dxxx=29.81650480            ds=0.150000   226s
  n=60   x0=1.4534262693470        a11=12.382985039727        Dxxx=58.48379646            ds=0.150000   278s
  n=70   x0=1.4733199023132        a11=13.405316211309        Dxxx=103.4917059            ds=0.150000   323s
  n=80   x0=1.4894376388177        a11=14.425859109060        Dxxx=169.8713945            ds=0.150000   374s
  n=90   x0=1.5028080689119        a11=15.445203603992        Dxxx=263.1918757            ds=0.150000   426s
  n=100  x0=1.5141061609696        a11=16.463747146743        Dxxx=389.5093697            ds=0.150000   481s
  n=110  x0=1.5237967465679        a11=17.481753154256        Dxxx=555.3226324            ds=0.150000   537s
  n=120  x0=1.5322122207573        a11=18.499394677930        Dxxx=767.5338806            ds=0.150000   599s
  -> npts=120 end=1.532212220757293392567797087798831 reason=MAXPTS Dxxx_sign_changes=1  (608s)
=== c_am1p5_o1p0  a=-1.5 a20=-2.675 side=1
  n=10   x0=1.1192549164118        a11=7.2007096911360        Dxxx=0.01459803766          ds=0.150000   19s
  n=20   x0=1.2766687670889        a11=8.2373055175007        Dxxx=0.8655145173           ds=0.150000   44s
  n=30   x0=1.3498654052465        a11=9.2711636476371        Dxxx=4.234729748            ds=0.150000   71s
  n=40   x0=1.3963501147915        a11=10.299663274014        Dxxx=12.35327876            ds=0.150000   104s
  n=50   x0=1.4293226036825        a11=11.323976997820        Dxxx=28.19668621            ds=0.150000   140s
  n=60   x0=1.4542492507384        a11=12.345342090342        Dxxx=55.46194604            ds=0.150000   180s
  n=70   x0=1.4739054076716        a11=13.364735608344        Dxxx=98.51417446            ds=0.150000   223s
  n=80   x0=1.4898793549851        a11=14.382859386897        Dxxx=162.3251489            ds=0.150000   270s
  n=90   x0=1.5031586782067        a11=15.400191457439        Dxxx=252.4142045            ds=0.150000   321s
  n=100  x0=1.5143964194865        a11=16.417045527570        Dxxx=374.7951413            ds=0.150000   378s
  n=110  x0=1.5240451800435        a11=17.433621450372        Dxxx=535.9296878            ds=0.150000   437s
  n=120  x0=1.5324303237934        a11=18.450043216830        Dxxx=742.6870916            ds=0.150000   499s
  -> npts=120 end=1.532430323793404273630286337364084 reason=MAXPTS Dxxx_sign_changes=0  (503s)
=== c_am1p0_o0p08  a=-1.0 a20=0.08 side=1
  n=10   x0=1.1654494563143        a11=6.1823891309040        Dxxx=5.320213717e-5         ds=0.150000   24s
  n=20   x0=1.3965663719772        a11=7.2290492077232        Dxxx=0.002308041881         ds=0.150000   47s
  n=30   x0=1.5047225462501        a11=8.2868823533577        Dxxx=0.007650110018         ds=0.150000   72s
  n=40   x0=1.5744809540831        a11=9.3463743383075        Dxxx=0.01570787086          ds=0.150000   101s
  n=50   x0=1.6244352789109        a11=10.406434711734        Dxxx=0.02613920424          ds=0.150000   134s
  n=60   x0=1.6623802015597        a11=11.466747775681        Dxxx=0.03862639077          ds=0.150000   167s
  n=70   x0=1.6923671161097        a11=12.527190688644        Dxxx=0.05287587553          ds=0.150000   205s
  n=80   x0=1.7167637334422        a11=13.587707056901        Dxxx=0.06862072772          ds=0.150000   245s
  n=90   x0=1.7370633585673        a11=14.648267964234        Dxxx=0.08562236208          ds=0.150000   287s
  n=100  x0=1.7542607250124        a11=15.708857335597        Dxxx=0.1036705859           ds=0.150000   331s
  n=110  x0=1.7690467194350        a11=16.769465662285        Dxxx=0.1225822371           ds=0.150000   378s
  n=120  x0=1.7819174637622        a11=17.830087036396        Dxxx=0.1421989847           ds=0.150000   427s
  -> npts=120 end=1.781917463762194077279562894757408 reason=MAXPTS Dxxx_sign_changes=0  (430s)
=== c_am0p8_om0p3  a=-0.8 a20=7.44320987654320987654320987654321 side=1
